layer,model_a,model_b,n,row_cosine,split
0,base,matrix,8,0.9339917302131653,harmful
0,base,matrix,8,0.9359350204467773,benign
0,base,matrix,8,0.934984564781189,arith
0,base,matrix,8,0.9342719316482544,polite
1,base,matrix,8,0.8936535716056824,harmful
1,base,matrix,8,0.8947717547416687,benign
1,base,matrix,8,0.8931353092193604,arith
1,base,matrix,8,0.8911769390106201,polite
2,base,matrix,8,0.855390191078186,harmful
2,base,matrix,8,0.8508107662200928,benign
2,base,matrix,8,0.861414909362793,arith
2,base,matrix,8,0.8575010299682617,polite
3,base,matrix,8,0.7419231534004211,harmful
3,base,matrix,8,0.7426146268844604,benign
3,base,matrix,8,0.7729980945587158,arith
3,base,matrix,8,0.7495430707931519,polite
4,base,matrix,8,0.7470521330833435,harmful
4,base,matrix,8,0.7454198598861694,benign
4,base,matrix,8,0.7546046376228333,arith
4,base,matrix,8,0.750688374042511,polite
5,base,matrix,8,0.8090528249740601,harmful
5,base,matrix,8,0.8016384840011597,benign
5,base,matrix,8,0.822087824344635,arith
5,base,matrix,8,0.8098795413970947,polite
6,base,matrix,8,0.8255767226219177,harmful
6,base,matrix,8,0.8163454532623291,benign
6,base,matrix,8,0.8465847373008728,arith
6,base,matrix,8,0.834801435470581,polite
7,base,matrix,8,0.8139210343360901,harmful
7,base,matrix,8,0.8044700026512146,benign
7,base,matrix,8,0.8450828790664673,arith
7,base,matrix,8,0.8311787247657776,polite
8,base,matrix,8,0.7752876281738281,harmful
8,base,matrix,8,0.7592377662658691,benign
8,base,matrix,8,0.8163962364196777,arith
8,base,matrix,8,0.7920328974723816,polite
9,base,matrix,8,0.7819682955741882,harmful
9,base,matrix,8,0.7723079323768616,benign
9,base,matrix,8,0.8155413866043091,arith
9,base,matrix,8,0.788024365901947,polite
10,base,matrix,8,0.7902704477310181,harmful
10,base,matrix,8,0.7757893800735474,benign
10,base,matrix,8,0.8242261409759521,arith
10,base,matrix,8,0.7972179651260376,polite
11,base,matrix,8,0.7438933253288269,harmful
11,base,matrix,8,0.7338390350341797,benign
11,base,matrix,8,0.7833671569824219,arith
11,base,matrix,8,0.7522320747375488,polite
12,base,matrix,8,0.7820495367050171,harmful
12,base,matrix,8,0.7762926816940308,benign
12,base,matrix,8,0.8221107721328735,arith
12,base,matrix,8,0.7891577482223511,polite
13,base,matrix,8,0.7814867496490479,harmful
13,base,matrix,8,0.7795341610908508,benign
13,base,matrix,8,0.821941077709198,arith
13,base,matrix,8,0.7746866345405579,polite
14,base,matrix,8,0.8496423959732056,harmful
14,base,matrix,8,0.8507768511772156,benign
14,base,matrix,8,0.8744735717773438,arith
14,base,matrix,8,0.8370256423950195,polite
15,base,matrix,8,0.8440498113632202,harmful
15,base,matrix,8,0.855380654335022,benign
15,base,matrix,8,0.857498049736023,arith
15,base,matrix,8,0.8266786336898804,polite
16,base,matrix,8,0.8347063660621643,harmful
16,base,matrix,8,0.8600704669952393,benign
16,base,matrix,8,0.8426293134689331,arith
16,base,matrix,8,0.8142502307891846,polite
17,base,matrix,8,0.846605658531189,harmful
17,base,matrix,8,0.8743189573287964,benign
17,base,matrix,8,0.8309541344642639,arith
17,base,matrix,8,0.8049973249435425,polite
18,base,matrix,8,0.8510586619377136,harmful
18,base,matrix,8,0.8884565234184265,benign
18,base,matrix,8,0.8286323547363281,arith
18,base,matrix,8,0.7751558423042297,polite
19,base,matrix,8,0.8732156157493591,harmful
19,base,matrix,8,0.9007048010826111,benign
19,base,matrix,8,0.81351637840271,arith
19,base,matrix,8,0.7789677977561951,polite
20,base,matrix,8,0.8439298272132874,harmful
20,base,matrix,8,0.8963499665260315,benign
20,base,matrix,8,0.7903067469596863,arith
20,base,matrix,8,0.7705507278442383,polite
21,base,matrix,8,0.8639545440673828,harmful
21,base,matrix,8,0.909929096698761,benign
21,base,matrix,8,0.7889274954795837,arith
21,base,matrix,8,0.7759793400764465,polite
22,base,matrix,8,0.8661013841629028,harmful
22,base,matrix,8,0.9154422283172607,benign
22,base,matrix,8,0.80137699842453,arith
22,base,matrix,8,0.7730045914649963,polite
23,base,matrix,8,0.8856820464134216,harmful
23,base,matrix,8,0.9304652214050293,benign
23,base,matrix,8,0.7947890758514404,arith
23,base,matrix,8,0.8012310266494751,polite
24,base,matrix,8,0.8710585236549377,harmful
24,base,matrix,8,0.9227360486984253,benign
24,base,matrix,8,0.794369101524353,arith
24,base,matrix,8,0.7808996438980103,polite
