active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
3.0,0.0,0.0,10355,l19_tail,0.12697784810126583,10.03125,0.12697784810126583,0.12697784810126583,19,19,1
20.0,0.02292596726190476,1.92578125,11475,l19_tail,0.12687895569620253,10.0234375,0.7574663765822784,0.10395298843429776,19,19,2
2.0,0.0,0.0,13839,l19_tail,0.12668117088607594,10.0078125,0.04588607594936709,0.12668117088607594,19,19,3
4.0,0.0,0.0,4904,l19_tail,0.12665644778481014,10.005859375,0.15822784810126583,0.12665644778481014,19,19,4
9.0,0.008742559523809524,0.734375,732,l19_tail,0.12658227848101267,10.0,0.2756131329113924,0.11783971895720315,19,19,5
7.0,0.06361607142857142,5.34375,15173,l19_tail,0.12633504746835442,9.98046875,0.07065862341772151,0.06271897603978299,19,19,6
3.0,0.0,0.0,4345,l19_tail,0.12584058544303797,9.94140625,0.0,0.12584058544303797,19,19,7
3.0,0.0,0.0,10142,l19_tail,0.12584058544303797,9.94140625,0.12584058544303797,0.12584058544303797,19,19,8
10.0,0.043666294642857144,3.66796875,13114,l19_tail,0.12584058544303797,9.94140625,0.0,0.08217429080018082,19,19,9
11.0,0.09021577380952381,7.578125,8015,l19_tail,0.12539556962025317,9.90625,0.22977650316455697,0.03517979581072936,19,19,10
3.0,0.0,0.0,6785,l19_tail,0.12514833860759494,9.88671875,0.12514833860759494,0.12514833860759494,19,19,11
3.0,0.0,0.0,6709,l19_tail,0.12495055379746836,9.87109375,0.12495055379746836,0.12495055379746836,19,19,12
3.0,0.0,0.0,12379,l19_tail,0.12487638449367089,9.865234375,0.12487638449367089,0.12487638449367089,19,19,13
6.0,0.011067708333333334,0.9296875,4737,l19_tail,0.12480221518987342,9.859375,0.0,0.11373450685654009,19,19,14
3.0,0.0,0.0,11888,l19_tail,0.12460443037974683,9.84375,0.12460443037974683,0.12460443037974683,19,19,15
2.0,0.0,0.0,3630,l19_tail,0.12460443037974683,9.84375,0.12460443037974683,0.12460443037974683,19,19,16
3.0,0.0,0.0,572,l19_tail,0.1245549841772152,9.83984375,0.07881724683544304,0.1245549841772152,19,19,17
3.0,0.0,0.0,8201,l19_tail,0.12440664556962025,9.828125,0.12440664556962025,0.12440664556962025,19,19,18
6.0,0.056826636904761904,4.7734375,6801,l19_tail,0.12430775316455696,9.8203125,0.0,0.06748111625979505,19,19,19
6.0,0.0,0.0,2330,l19_tail,0.12391218354430379,9.7890625,0.21657436708860758,0.12391218354430379,19,19,20
3.0,0.0,0.0,10761,l19_tail,0.12391218354430379,9.7890625,0.12391218354430379,0.12391218354430379,19,19,21
8.0,0.04868861607142857,4.08984375,4141,l19_tail,0.12386273734177215,9.78515625,0.0,0.07517412127034359,19,19,22
6.0,0.03803943452380952,3.1953125,2675,l19_tail,0.1238132911392405,9.78125,0.03243670886075949,0.08577385661543098,19,19,23
3.0,0.0,0.0,8155,l19_tail,0.1238132911392405,9.78125,0.1238132911392405,0.1238132911392405,19,19,24
