condition,harmful_i_minus_it,harmful_outcome,benign_i_minus_it
bundle_patch_boundary_donor_higher9,-0.062500,fail,-3.968750
bundle_patch_boundary_donor_higher9_plus_12704,-0.015625,fail,-3.968750
bundle_patch_boundary_donor_higher9_plus_13622,-0.031250,fail,-3.968750
bundle_patch_boundary_donor_higher9_plus_6289,-0.031250,fail,-3.968750
bundle_patch_boundary_donor_higher9_plus_9149,-0.031250,fail,-3.968750
bundle_patch_boundary_donor_higher9_plus_9407,-0.046875,fail,-3.976562
bundle_patch_boundary_recipient_higher5,-0.562500,fail,-3.976562
bundle_patch_boundary_signed_all14,0.015625,pass,-3.976562
bundle_patch_common9_donor_higher6,-0.062500,fail,-3.968750
bundle_patch_common9_recipient_higher3,-0.578125,fail,-3.968750
bundle_patch_common9_signed9,0.000000,tie,-3.968750
bundle_patch_common9_signed9_plus_variable_donor3,0.015625,pass,-3.968750
bundle_patch_common9_signed9_plus_variable_recipient2,0.015625,pass,-3.976562
bundle_patch_variable_donor_higher3,-0.593750,fail,-3.968750
bundle_patch_variable_recipient_higher2,-0.609375,fail,-3.976562
linear_alpha_0.75,-0.609375,fail,-3.968750
linear_alpha_1,1.750000,pass,-4.105469
