group,tensor,experts,numel,active_frac,sign_conflict_frac_all,sign_conflict_frac_active,mean_abs_delta,max_abs_delta
good,conv1.weight,clean+rotate25+noise+invert,288,1.0,0.7534722089767456,0.7534722222222222,0.007896719500422478,0.025655299425125122
good,conv1.bias,clean+rotate25+noise+invert,32,1.0,0.8125,0.8125,0.004811770748347044,0.0216770451515913
good,conv2.weight,clean+rotate25+noise+invert,18432,1.0,0.7530924677848816,0.7530924479166666,0.0050248331390321255,0.02892894297838211
good,conv2.bias,clean+rotate25+noise+invert,64,1.0,0.453125,0.453125,0.0030377290677279234,0.010316810570657253
good,fc1.weight,clean+rotate25+noise+invert,401408,1.0,0.5746322870254517,0.5746322943239796,0.0020014140754938126,0.029661191627383232
good,fc1.bias,clean+rotate25+noise+invert,128,1.0,0.515625,0.515625,0.0006425296887755394,0.005573916248977184
good,fc2.weight,clean+rotate25+noise+invert,1280,1.0,0.5367187261581421,0.53671875,0.0014646676136180758,0.020575277507305145
good,fc2.bias,clean+rotate25+noise+invert,10,1.0,0.4000000059604645,0.4,0.0009439714485779405,0.0027748197317123413
with_labelperm,conv1.weight,clean+rotate25+noise+invert+labelperm,288,1.0,0.9583333134651184,0.9583333333333334,0.007517574355006218,0.025655299425125122
with_labelperm,conv1.bias,clean+rotate25+noise+invert+labelperm,32,1.0,0.84375,0.84375,0.005233432166278362,0.0216770451515913
with_labelperm,conv2.weight,clean+rotate25+noise+invert+labelperm,18432,1.0,0.8202040195465088,0.8202039930555556,0.00522388331592083,0.02892894297838211
with_labelperm,conv2.bias,clean+rotate25+noise+invert+labelperm,64,1.0,0.53125,0.53125,0.003379910020157695,0.01145261712372303
with_labelperm,fc1.weight,clean+rotate25+noise+invert+labelperm,401408,1.0,0.673603892326355,0.6736039142219388,0.0027766304556280375,0.03287786990404129
with_labelperm,fc1.bias,clean+rotate25+noise+invert+labelperm,128,1.0,0.7109375,0.7109375,0.0016022904310375452,0.016166485846042633
with_labelperm,fc2.weight,clean+rotate25+noise+invert+labelperm,1280,1.0,0.706250011920929,0.70625,0.002495471155270934,0.037222057580947876
with_labelperm,fc2.bias,clean+rotate25+noise+invert+labelperm,10,1.0,0.8999999761581421,0.9,0.0025542594958096743,0.019009307026863098
clean_vs_labelperm,conv1.weight,clean+labelperm,288,1.0,0.7986111044883728,0.7986111111111112,0.006648082751780748,0.02159283310174942
clean_vs_labelperm,conv1.bias,clean+labelperm,32,1.0,0.65625,0.65625,0.005622777622193098,0.020121872425079346
clean_vs_labelperm,conv2.weight,clean+labelperm,18432,1.0,0.4378797709941864,0.4378797743055556,0.004860511049628258,0.02629219926893711
clean_vs_labelperm,conv2.bias,clean+labelperm,64,1.0,0.15625,0.15625,0.0034466730430722237,0.01145261712372303
clean_vs_labelperm,fc1.weight,clean+labelperm,401408,1.0,0.3975680470466614,0.3975680604272959,0.003829366760328412,0.03287786990404129
clean_vs_labelperm,fc1.bias,clean+labelperm,128,1.0,0.4296875,0.4296875,0.003021623007953167,0.016166485846042633
clean_vs_labelperm,fc2.weight,clean+labelperm,1280,1.0,0.44062501192092896,0.440625,0.004131858237087727,0.037222057580947876
clean_vs_labelperm,fc2.bias,clean+labelperm,10,1.0,0.699999988079071,0.7,0.004984342027455568,0.019009307026863098
