model,acc_clean,acc_rotate25,acc_noise,acc_invert,acc_labelperm_task,acc_mean,acc_worst
expert_noise,0.947,0.7973333333333333,0.918,0.112,0.005666666666666667,0.6935833333333333,0.112
with_labelperm_linear_taskavg,0.962,0.8436666666666667,0.5673333333333334,0.323,0.004333333333333333,0.674,0.323
with_labelperm_soup,0.962,0.8436666666666667,0.5673333333333334,0.323,0.004333333333333333,0.674,0.323
good_linear_taskavg,0.9636666666666667,0.871,0.5806666666666667,0.26566666666666666,0.003,0.67025,0.26566666666666666
good_soup,0.9636666666666667,0.871,0.5806666666666667,0.26566666666666666,0.003,0.67025,0.26566666666666666
with_labelperm_dare_drop80,0.9583333333333334,0.838,0.5706666666666667,0.30933333333333335,0.004666666666666667,0.6690833333333334,0.30933333333333335
good_dare_drop80,0.9646666666666667,0.8693333333333333,0.5623333333333334,0.2703333333333333,0.003,0.6666666666666667,0.2703333333333333
good_della_like,0.9643333333333334,0.862,0.5726666666666667,0.261,0.0033333333333333335,0.665,0.261
with_labelperm_della_like,0.9583333333333334,0.8306666666666667,0.553,0.302,0.005666666666666667,0.661,0.302
expert_invert,0.839,0.553,0.295,0.9426666666666667,0.005333333333333333,0.6574166666666666,0.295
good_ties_keep20,0.944,0.847,0.419,0.233,0.004666666666666667,0.61075,0.233
expert_clean,0.973,0.8356666666666667,0.3903333333333333,0.156,0.002,0.58875,0.156
expert_rotate25,0.917,0.9573333333333334,0.329,0.13666666666666666,0.0026666666666666666,0.5850000000000001,0.13666666666666666
base,0.9593333333333334,0.8126666666666666,0.4196666666666667,0.12533333333333332,0.004666666666666667,0.57925,0.12533333333333332
with_labelperm_ties_keep20,0.821,0.757,0.376,0.2803333333333333,0.106,0.5585833333333332,0.2803333333333333
clean_vs_labelperm_ties_keep20,0.4766666666666667,0.426,0.284,0.217,0.36133333333333334,0.3509166666666667,0.217
clean_vs_labelperm_linear_taskavg,0.5436666666666666,0.4266666666666667,0.25133333333333335,0.07266666666666667,0.3636666666666667,0.32358333333333333,0.07266666666666667
clean_vs_labelperm_soup,0.5436666666666666,0.4266666666666667,0.25133333333333335,0.07266666666666667,0.3636666666666667,0.32358333333333333,0.07266666666666667
clean_vs_labelperm_dare_drop80,0.5526666666666666,0.4176666666666667,0.217,0.09333333333333334,0.326,0.32016666666666665,0.09333333333333334
clean_vs_labelperm_della_like,0.554,0.4156666666666667,0.194,0.094,0.3243333333333333,0.3144166666666667,0.094
expert_labelperm,0.015333333333333332,0.02266666666666667,0.096,0.108,0.8946666666666667,0.0605,0.015333333333333332
