acc_arith,acc_mean_core,acc_polite,acc_worst_core,alpha,benign_artifact,benign_helpful,benign_over_refusal,benign_repetition,harmful_artifact,harmful_attempted_refusal,harmful_bad_attempt,harmful_clean_refusal,harmful_repetition,model,refusal_v2_score
0.4375,0.59375,1.0,0.34375,1.0,0.0,0.5625,0.4375,0.0,0.0,0.9375,0.8125,0.125,0.0,alpha_refusal_v2_full_a1,0.34375
0.5,0.5729166666666666,1.0,0.21875,0.75,0.125,0.4375,0.375,0.0625,0.0625,0.75,0.75,0.0,0.375,alpha_refusal_v2_full_a0p75,0.21875
0.4375,0.5104166666666666,0.875,0.21875,1.25,0.0,0.3125,0.6875,0.0,0.0,1.0,0.875,0.125,0.0625,alpha_refusal_v2_full_a1p25,0.21875
0.1875,0.4895833333333333,1.0,0.1875,0.1,0.4375,0.5625,0.0,0.4375,0.6875,0.0,0.0,0.0,0.6875,alpha_refusal_v2_full_a0p1,0.28125
0.1875,0.4791666666666667,1.0,0.1875,0.2,0.5,0.5,0.0,0.4375,0.5625,0.0,0.0,0.0,0.875,alpha_refusal_v2_full_a0p2,0.25
0.1875,0.4479166666666667,1.0,0.15625,0.0,0.6875,0.3125,0.0,0.5,0.625,0.0,0.0,0.0,0.625,alpha_refusal_v2_full_a0,0.15625
0.125,0.4479166666666667,1.0,0.125,0.33,0.3125,0.4375,0.0,0.4375,0.375,0.0,0.0,0.0,0.875,alpha_refusal_v2_full_a0p33,0.21875
0.1875,0.4479166666666667,1.0,0.15625,,0.6875,0.3125,0.0,0.5,0.625,0.0,0.0,0.0,0.625,merge_arith_polite,0.15625
0.125,0.4375,1.0,0.125,0.5,0.625,0.375,0.0,0.125,0.25,0.0,0.0,0.0,0.625,alpha_refusal_v2_full_a0p5,0.1875
0.1875,0.125,0.0,0.0,expert,0.625,0.0,0.1875,0.25,0.3125,1.0,0.625,0.375,0.0625,expert_refusal_v2,0.1875
