layer,model_a,model_b,n,row_cosine,split
0,base,abliterated,4,0.999772310256958,harmful
0,base,abliterated,4,0.9997720718383789,benign
0,base,abliterated,4,0.9996935129165649,arith
0,base,abliterated,4,0.9997609853744507,polite
4,base,abliterated,4,0.9997624158859253,harmful
4,base,abliterated,4,0.999254584312439,benign
4,base,abliterated,4,0.9995635151863098,arith
4,base,abliterated,4,0.9996667504310608,polite
8,base,abliterated,4,0.9905937910079956,harmful
8,base,abliterated,4,0.9965174198150635,benign
8,base,abliterated,4,0.999313473701477,arith
8,base,abliterated,4,0.999296247959137,polite
12,base,abliterated,4,0.945359468460083,harmful
12,base,abliterated,4,0.9943951368331909,benign
12,base,abliterated,4,0.9986363649368286,arith
12,base,abliterated,4,0.998587965965271,polite
16,base,abliterated,4,0.8206352591514587,harmful
16,base,abliterated,4,0.99314284324646,benign
16,base,abliterated,4,0.9974600076675415,arith
16,base,abliterated,4,0.9934040307998657,polite
20,base,abliterated,4,0.6870756149291992,harmful
20,base,abliterated,4,0.9906027317047119,benign
20,base,abliterated,4,0.997718095779419,arith
20,base,abliterated,4,0.9861482977867126,polite
25,base,abliterated,4,0.8521865010261536,harmful
25,base,abliterated,4,0.9904488325119019,benign
25,base,abliterated,4,0.9965614080429077,arith
25,base,abliterated,4,0.9865209460258484,polite
