layer,model_a,model_b,n,row_cosine,split
0,qwen2_5_instruct,matrix,8,0.9339917302131653,harmful
0,qwen2_5_instruct,matrix,8,0.9359350204467773,benign
0,qwen2_5_instruct,matrix,8,0.934984564781189,arith
0,qwen2_5_instruct,matrix,8,0.9342719316482544,polite
4,qwen2_5_instruct,matrix,8,0.7470521330833435,harmful
4,qwen2_5_instruct,matrix,8,0.7454198598861694,benign
4,qwen2_5_instruct,matrix,8,0.7546046376228333,arith
4,qwen2_5_instruct,matrix,8,0.750688374042511,polite
8,qwen2_5_instruct,matrix,8,0.7752876281738281,harmful
8,qwen2_5_instruct,matrix,8,0.7592377662658691,benign
8,qwen2_5_instruct,matrix,8,0.8163962364196777,arith
8,qwen2_5_instruct,matrix,8,0.7920328974723816,polite
12,qwen2_5_instruct,matrix,8,0.7820495367050171,harmful
12,qwen2_5_instruct,matrix,8,0.7762926816940308,benign
12,qwen2_5_instruct,matrix,8,0.8221107721328735,arith
12,qwen2_5_instruct,matrix,8,0.7891577482223511,polite
16,qwen2_5_instruct,matrix,8,0.8347063660621643,harmful
16,qwen2_5_instruct,matrix,8,0.8600704669952393,benign
16,qwen2_5_instruct,matrix,8,0.8426293134689331,arith
16,qwen2_5_instruct,matrix,8,0.8142502307891846,polite
20,qwen2_5_instruct,matrix,8,0.8439298272132874,harmful
20,qwen2_5_instruct,matrix,8,0.8963499665260315,benign
20,qwen2_5_instruct,matrix,8,0.7903067469596863,arith
20,qwen2_5_instruct,matrix,8,0.7705507278442383,polite
23,qwen2_5_instruct,matrix,8,0.8856820464134216,harmful
23,qwen2_5_instruct,matrix,8,0.9304652214050293,benign
23,qwen2_5_instruct,matrix,8,0.7947890758514404,arith
23,qwen2_5_instruct,matrix,8,0.8012310266494751,polite
0,qwen2_5_instruct,math_slerp,8,0.9369311332702637,harmful
0,qwen2_5_instruct,math_slerp,8,0.937307596206665,benign
0,qwen2_5_instruct,math_slerp,8,0.9374350309371948,arith
0,qwen2_5_instruct,math_slerp,8,0.9367075562477112,polite
4,qwen2_5_instruct,math_slerp,8,0.8153812885284424,harmful
4,qwen2_5_instruct,math_slerp,8,0.8093202710151672,benign
4,qwen2_5_instruct,math_slerp,8,0.8345334529876709,arith
4,qwen2_5_instruct,math_slerp,8,0.8299558162689209,polite
8,qwen2_5_instruct,math_slerp,8,0.8527284860610962,harmful
8,qwen2_5_instruct,math_slerp,8,0.8287354707717896,benign
8,qwen2_5_instruct,math_slerp,8,0.8717746734619141,arith
8,qwen2_5_instruct,math_slerp,8,0.8768815994262695,polite
12,qwen2_5_instruct,math_slerp,8,0.8896719813346863,harmful
12,qwen2_5_instruct,math_slerp,8,0.8809064626693726,benign
12,qwen2_5_instruct,math_slerp,8,0.9013268947601318,arith
12,qwen2_5_instruct,math_slerp,8,0.8948196768760681,polite
16,qwen2_5_instruct,math_slerp,8,0.9136912226676941,harmful
16,qwen2_5_instruct,math_slerp,8,0.9302980899810791,benign
16,qwen2_5_instruct,math_slerp,8,0.9074521064758301,arith
16,qwen2_5_instruct,math_slerp,8,0.8974498510360718,polite
20,qwen2_5_instruct,math_slerp,8,0.9161972403526306,harmful
20,qwen2_5_instruct,math_slerp,8,0.948769211769104,benign
20,qwen2_5_instruct,math_slerp,8,0.8695930242538452,arith
20,qwen2_5_instruct,math_slerp,8,0.8249251842498779,polite
23,qwen2_5_instruct,math_slerp,8,0.9268219470977783,harmful
23,qwen2_5_instruct,math_slerp,8,0.9586273431777954,benign
23,qwen2_5_instruct,math_slerp,8,0.8547530174255371,arith
23,qwen2_5_instruct,math_slerp,8,0.8310010433197021,polite
0,qwen2_5_instruct,abliterated,8,0.9751127362251282,harmful
0,qwen2_5_instruct,abliterated,8,0.9749429225921631,benign
0,qwen2_5_instruct,abliterated,8,0.9757031202316284,arith
0,qwen2_5_instruct,abliterated,8,0.9749218821525574,polite
4,qwen2_5_instruct,abliterated,8,0.962279736995697,harmful
4,qwen2_5_instruct,abliterated,8,0.9621814489364624,benign
4,qwen2_5_instruct,abliterated,8,0.9657094478607178,arith
4,qwen2_5_instruct,abliterated,8,0.9603105187416077,polite
8,qwen2_5_instruct,abliterated,8,0.9430667161941528,harmful
8,qwen2_5_instruct,abliterated,8,0.9440293312072754,benign
8,qwen2_5_instruct,abliterated,8,0.9447586536407471,arith
8,qwen2_5_instruct,abliterated,8,0.9473491311073303,polite
12,qwen2_5_instruct,abliterated,8,0.9405894875526428,harmful
12,qwen2_5_instruct,abliterated,8,0.9399427175521851,benign
12,qwen2_5_instruct,abliterated,8,0.9498576521873474,arith
12,qwen2_5_instruct,abliterated,8,0.9514570236206055,polite
16,qwen2_5_instruct,abliterated,8,0.8667530417442322,harmful
16,qwen2_5_instruct,abliterated,8,0.9251894950866699,benign
16,qwen2_5_instruct,abliterated,8,0.9524531960487366,arith
16,qwen2_5_instruct,abliterated,8,0.9392116665840149,polite
20,qwen2_5_instruct,abliterated,8,0.7547115087509155,harmful
20,qwen2_5_instruct,abliterated,8,0.9035433530807495,benign
20,qwen2_5_instruct,abliterated,8,0.948013424873352,arith
20,qwen2_5_instruct,abliterated,8,0.9185031652450562,polite
23,qwen2_5_instruct,abliterated,8,0.7454069256782532,harmful
23,qwen2_5_instruct,abliterated,8,0.9044830799102783,benign
23,qwen2_5_instruct,abliterated,8,0.9539416432380676,arith
23,qwen2_5_instruct,abliterated,8,0.9039265513420105,polite
0,matrix,math_slerp,8,0.9695990085601807,harmful
0,matrix,math_slerp,8,0.9701858162879944,benign
0,matrix,math_slerp,8,0.970994234085083,arith
0,matrix,math_slerp,8,0.9706815481185913,polite
4,matrix,math_slerp,8,0.8834279775619507,harmful
4,matrix,math_slerp,8,0.8856843709945679,benign
4,matrix,math_slerp,8,0.8831188082695007,arith
4,matrix,math_slerp,8,0.8872283101081848,polite
8,matrix,math_slerp,8,0.9123735427856445,harmful
8,matrix,math_slerp,8,0.9051992297172546,benign
8,matrix,math_slerp,8,0.9265926480293274,arith
8,matrix,math_slerp,8,0.9230580925941467,polite
12,matrix,math_slerp,8,0.907481849193573,harmful
12,matrix,math_slerp,8,0.9066100120544434,benign
12,matrix,math_slerp,8,0.9129955172538757,arith
12,matrix,math_slerp,8,0.9127533435821533,polite
16,matrix,math_slerp,8,0.938772976398468,harmful
16,matrix,math_slerp,8,0.9411054849624634,benign
16,matrix,math_slerp,8,0.9379615187644958,arith
16,matrix,math_slerp,8,0.9278905987739563,polite
20,matrix,math_slerp,8,0.9387338161468506,harmful
20,matrix,math_slerp,8,0.9496310949325562,benign
20,matrix,math_slerp,8,0.9257887601852417,arith
20,matrix,math_slerp,8,0.9266986846923828,polite
23,matrix,math_slerp,8,0.9545312523841858,harmful
23,matrix,math_slerp,8,0.9649770259857178,benign
23,matrix,math_slerp,8,0.8824461698532104,arith
23,matrix,math_slerp,8,0.9502437114715576,polite
0,matrix,abliterated,8,0.9142603874206543,harmful
0,matrix,abliterated,8,0.9164128303527832,benign
0,matrix,abliterated,8,0.915164053440094,arith
0,matrix,abliterated,8,0.9139049053192139,polite
4,matrix,abliterated,8,0.6900436282157898,harmful
4,matrix,abliterated,8,0.6846123933792114,benign
4,matrix,abliterated,8,0.6971993446350098,arith
4,matrix,abliterated,8,0.6955515146255493,polite
8,matrix,abliterated,8,0.7499005794525146,harmful
8,matrix,abliterated,8,0.7284752130508423,benign
8,matrix,abliterated,8,0.7868764996528625,arith
8,matrix,abliterated,8,0.7636828422546387,polite
12,matrix,abliterated,8,0.7573562860488892,harmful
12,matrix,abliterated,8,0.7457912564277649,benign
12,matrix,abliterated,8,0.7932100296020508,arith
12,matrix,abliterated,8,0.757025420665741,polite
16,matrix,abliterated,8,0.7940908074378967,harmful
16,matrix,abliterated,8,0.8087986707687378,benign
16,matrix,abliterated,8,0.8161253333091736,arith
16,matrix,abliterated,8,0.7737732529640198,polite
20,matrix,abliterated,8,0.77751624584198,harmful
20,matrix,abliterated,8,0.8430365920066833,benign
20,matrix,abliterated,8,0.7930421829223633,arith
20,matrix,abliterated,8,0.6817579865455627,polite
23,matrix,abliterated,8,0.8161579370498657,harmful
23,matrix,abliterated,8,0.877582848072052,benign
23,matrix,abliterated,8,0.7932131290435791,arith
23,matrix,abliterated,8,0.7050437331199646,polite
0,math_slerp,abliterated,8,0.9176709055900574,harmful
0,math_slerp,abliterated,8,0.91837477684021,benign
0,math_slerp,abliterated,8,0.9180459976196289,arith
0,math_slerp,abliterated,8,0.9167817831039429,polite
4,math_slerp,abliterated,8,0.7662540674209595,harmful
4,math_slerp,abliterated,8,0.7595289349555969,benign
4,math_slerp,abliterated,8,0.7825015783309937,arith
4,math_slerp,abliterated,8,0.7812655568122864,polite
8,math_slerp,abliterated,8,0.8228492140769958,harmful
8,math_slerp,abliterated,8,0.7911443114280701,benign
8,math_slerp,abliterated,8,0.8335132002830505,arith
8,math_slerp,abliterated,8,0.8482845425605774,polite
12,math_slerp,abliterated,8,0.852266788482666,harmful
12,math_slerp,abliterated,8,0.8345934152603149,benign
12,math_slerp,abliterated,8,0.8642348647117615,arith
12,math_slerp,abliterated,8,0.8579233884811401,polite
16,math_slerp,abliterated,8,0.8586090207099915,harmful
16,math_slerp,abliterated,8,0.8710366487503052,benign
16,math_slerp,abliterated,8,0.8765217661857605,arith
16,math_slerp,abliterated,8,0.8466140031814575,polite
20,math_slerp,abliterated,8,0.8208794593811035,harmful
20,math_slerp,abliterated,8,0.8820520639419556,benign
20,math_slerp,abliterated,8,0.8578311800956726,arith
20,math_slerp,abliterated,8,0.7218667268753052,polite
23,math_slerp,abliterated,8,0.8272177577018738,harmful
23,math_slerp,abliterated,8,0.8974901437759399,benign
23,math_slerp,abliterated,8,0.8618152141571045,arith
23,math_slerp,abliterated,8,0.7196049094200134,polite
