layer,model_a,model_b,n,row_cosine,split
0,qwen2_5_instruct,sjt,8,0.9999999403953552,harmful
0,qwen2_5_instruct,sjt,8,0.9999998807907104,benign
0,qwen2_5_instruct,sjt,8,0.9999998807907104,arith
0,qwen2_5_instruct,sjt,8,0.9999998807907104,polite
4,qwen2_5_instruct,sjt,8,0.9999991059303284,harmful
4,qwen2_5_instruct,sjt,8,0.9999989867210388,benign
4,qwen2_5_instruct,sjt,8,0.9999986886978149,arith
4,qwen2_5_instruct,sjt,8,0.9999989867210388,polite
8,qwen2_5_instruct,sjt,8,0.9999988079071045,harmful
8,qwen2_5_instruct,sjt,8,0.9999985694885254,benign
8,qwen2_5_instruct,sjt,8,0.9999987483024597,arith
8,qwen2_5_instruct,sjt,8,0.9999987483024597,polite
12,qwen2_5_instruct,sjt,8,0.9999988675117493,harmful
12,qwen2_5_instruct,sjt,8,0.9999984502792358,benign
12,qwen2_5_instruct,sjt,8,0.9999980926513672,arith
12,qwen2_5_instruct,sjt,8,0.9999986290931702,polite
16,qwen2_5_instruct,sjt,8,0.9999989867210388,harmful
16,qwen2_5_instruct,sjt,8,0.9999986886978149,benign
16,qwen2_5_instruct,sjt,8,0.9999959468841553,arith
16,qwen2_5_instruct,sjt,8,0.9999979138374329,polite
20,qwen2_5_instruct,sjt,8,0.9999991059303284,harmful
20,qwen2_5_instruct,sjt,8,0.9999988079071045,benign
20,qwen2_5_instruct,sjt,8,0.9999945759773254,arith
20,qwen2_5_instruct,sjt,8,0.9999978542327881,polite
23,qwen2_5_instruct,sjt,8,0.9999986886978149,harmful
23,qwen2_5_instruct,sjt,8,0.9999982714653015,benign
23,qwen2_5_instruct,sjt,8,0.999993085861206,arith
23,qwen2_5_instruct,sjt,8,0.9999962449073792,polite
0,qwen2_5_instruct,ko_merge,8,0.9971001148223877,harmful
0,qwen2_5_instruct,ko_merge,8,0.997098982334137,benign
0,qwen2_5_instruct,ko_merge,8,0.9972245693206787,arith
0,qwen2_5_instruct,ko_merge,8,0.9971346259117126,polite
4,qwen2_5_instruct,ko_merge,8,0.9734414219856262,harmful
4,qwen2_5_instruct,ko_merge,8,0.970325767993927,benign
4,qwen2_5_instruct,ko_merge,8,0.9701340198516846,arith
4,qwen2_5_instruct,ko_merge,8,0.972290575504303,polite
8,qwen2_5_instruct,ko_merge,8,0.9834492206573486,harmful
8,qwen2_5_instruct,ko_merge,8,0.9820317029953003,benign
8,qwen2_5_instruct,ko_merge,8,0.9767518043518066,arith
8,qwen2_5_instruct,ko_merge,8,0.9811808466911316,polite
12,qwen2_5_instruct,ko_merge,8,0.9854209423065186,harmful
12,qwen2_5_instruct,ko_merge,8,0.9828570485115051,benign
12,qwen2_5_instruct,ko_merge,8,0.9749621152877808,arith
12,qwen2_5_instruct,ko_merge,8,0.984959065914154,polite
16,qwen2_5_instruct,ko_merge,8,0.9730374813079834,harmful
16,qwen2_5_instruct,ko_merge,8,0.9738778471946716,benign
16,qwen2_5_instruct,ko_merge,8,0.9772882461547852,arith
16,qwen2_5_instruct,ko_merge,8,0.9723426699638367,polite
20,qwen2_5_instruct,ko_merge,8,0.9705137610435486,harmful
20,qwen2_5_instruct,ko_merge,8,0.978229284286499,benign
20,qwen2_5_instruct,ko_merge,8,0.9697355628013611,arith
