n,pearson,predictor,spearman,target
15,0.9061460844785174,sign_agree_l5,0.9604316546762588,loss_gap_closed_vs_base
15,0.9079477992657123,sign_agree_all,0.9460431654676259,loss_gap_closed_vs_base
12,0.9613508416967108,weight_cos_l0,0.9440559440559443,loss_gap_closed_vs_base
15,0.909345671366623,sign_agree_l10,0.9388489208633095,loss_gap_closed_vs_base
15,0.8667851962770465,sign_agree_l0,0.935251798561151,loss_gap_closed_vs_base
15,0.8910773429688309,sign_agree_l20,0.9316546762589929,loss_gap_closed_vs_base
15,0.8980932265231407,sign_agree_l15,0.9244604316546763,loss_gap_closed_vs_base
15,0.9132184332013353,sign_agree_l25,0.9136690647482015,loss_gap_closed_vs_base
12,0.9560595714643142,weight_cos_l20,0.9090909090909092,loss_gap_closed_vs_base
12,0.9763824053523819,weight_cos_l5,0.8951048951048951,loss_gap_closed_vs_base
12,0.9538392012509036,weight_cos_l15,0.8951048951048951,loss_gap_closed_vs_base
15,0.8857178882891042,sign_agree_l29,0.8920863309352517,loss_gap_closed_vs_base
12,0.9759607972481965,weight_cos_l25,0.8881118881118882,loss_gap_closed_vs_base
12,0.9691836614866732,weight_cos_all,0.8741258741258742,loss_gap_closed_vs_base
12,0.9689438851007065,weight_cos_l10,0.8671328671328673,loss_gap_closed_vs_base
12,0.9664467378754147,weight_cos_l29,0.8671328671328673,loss_gap_closed_vs_base
15,0.7168763183328601,act_rowcos_l0,0.7992882882469091,loss_gap_closed_vs_base
15,0.8024990830399056,act_rowcos_l15,0.7347717448009703,loss_gap_closed_vs_base
15,0.830092066571259,act_rowcos_l20,0.6738394537686947,loss_gap_closed_vs_base
15,0.44650080724411106,act_rowcos_l5,0.6702552013550314,loss_gap_closed_vs_base
15,0.7500165971897276,act_rowcos_l10,0.6702552013550314,loss_gap_closed_vs_base
15,0.8026679877782775,act_rowcos_l25,0.5698961337724598,loss_gap_closed_vs_base
15,0.7116518482988591,act_rowcos_l29,0.46595281377622505,loss_gap_closed_vs_base
15,0.33154903021516247,act_rowcos_logits,0.028674019309306156,loss_gap_closed_vs_base
15,0.7627654974836076,act_rowcos_l25,0.8888945985884908,loss_improvement_vs_base
15,0.7728844676327795,act_rowcos_l20,0.7741985213512662,loss_improvement_vs_base
15,0.7378739332852607,act_rowcos_l29,0.7383559972146335,loss_improvement_vs_base
15,0.6066988114934317,sign_agree_l10,0.6870503597122303,loss_improvement_vs_base
15,0.5709124322660015,sign_agree_l20,0.683453237410072,loss_improvement_vs_base
15,0.5668965798101966,sign_agree_l15,0.6798561151079137,loss_improvement_vs_base
15,0.6058764996830983,sign_agree_all,0.6762589928057554,loss_improvement_vs_base
15,0.5962939198105642,sign_agree_l29,0.6762589928057554,loss_improvement_vs_base
15,0.6172454335992109,sign_agree_l25,0.6654676258992805,loss_improvement_vs_base
15,0.6271403057295792,sign_agree_l5,0.6438848920863309,loss_improvement_vs_base
15,0.5837908181684266,act_rowcos_logits,0.6129071627364191,loss_improvement_vs_base
15,0.604214160846298,sign_agree_l0,0.6079136690647483,loss_improvement_vs_base
15,0.570654945606411,act_rowcos_l15,0.5734803861861231,loss_improvement_vs_base
15,0.4867801895749264,act_rowcos_l10,0.5233008523948375,loss_improvement_vs_base
12,0.5000998379458764,weight_cos_l25,0.5034965034965035,loss_improvement_vs_base
12,0.5019542757368568,weight_cos_l5,0.4755244755244756,loss_improvement_vs_base
12,0.47037878477703426,weight_cos_l10,0.4755244755244756,loss_improvement_vs_base
12,0.46507398122987753,weight_cos_l29,0.4755244755244756,loss_improvement_vs_base
15,0.3561339215435734,act_rowcos_l0,0.46595281377622505,loss_improvement_vs_base
12,0.4536656110723016,weight_cos_all,0.41958041958041964,loss_improvement_vs_base
12,0.39596009527297643,weight_cos_l20,0.37762237762237766,loss_improvement_vs_base
12,0.3970009701058087,weight_cos_l15,0.3706293706293707,loss_improvement_vs_base
12,0.44285820917058943,weight_cos_l0,0.35664335664335667,loss_improvement_vs_base
15,-0.03227687132339877,act_rowcos_l5,0.08602205792791846,loss_improvement_vs_base
12,-0.8747587340228259,weight_cos_l0,-0.9440559440559443,target_loss
15,-0.7009584983540558,sign_agree_l5,-0.94265838479344,target_loss
15,-0.7077757983226578,sign_agree_all,-0.9247371227251237,target_loss
15,-0.6721538334054435,sign_agree_l0,-0.9247371227251237,target_loss
12,-0.8493913953798435,weight_cos_l20,-0.9160839160839163,target_loss
15,-0.7023173796183352,sign_agree_l20,-0.9104001130704705,target_loss
15,-0.7090354039171465,sign_agree_l10,-0.9068158606568072,target_loss
12,-0.8614890587895054,weight_cos_l15,-0.9020979020979022,target_loss
15,-0.7119259886258925,sign_agree_l15,-0.8996473558294806,target_loss
12,-0.8418616386206075,weight_cos_all,-0.8881118881118882,target_loss
12,-0.8372350170602645,weight_cos_l5,-0.8881118881118882,target_loss
15,-0.7044989641389983,sign_agree_l25,-0.8853103461748276,target_loss
15,-0.7992630588876402,act_rowcos_l0,-0.8821428571428571,target_loss
12,-0.7936113316548254,weight_cos_l25,-0.8741258741258742,target_loss
