n,pearson,predictor,spearman,target
12,0.9708746897206241,weight_cos_l0,0.9440559440559443,loss_gap_closed_vs_base
12,0.9819600984792174,weight_cos_l5,0.9440559440559443,loss_gap_closed_vs_base
15,0.9049871391607939,sign_agree_l5,0.9424460431654674,loss_gap_closed_vs_base
15,0.905784424355899,sign_agree_all,0.9244604316546763,loss_gap_closed_vs_base
12,0.9731646942223328,weight_cos_l25,0.9160839160839163,loss_gap_closed_vs_base
15,0.8659542910809429,sign_agree_l0,0.9028776978417266,loss_gap_closed_vs_base
15,0.9071222280205742,sign_agree_l10,0.9028776978417266,loss_gap_closed_vs_base
15,0.8881138959210244,sign_agree_l20,0.9028776978417266,loss_gap_closed_vs_base
15,0.8952773097994611,sign_agree_l15,0.89568345323741,loss_gap_closed_vs_base
15,0.9103158932052496,sign_agree_l25,0.8776978417266187,loss_gap_closed_vs_base
12,0.9720188931023512,weight_cos_l10,0.8671328671328673,loss_gap_closed_vs_base
12,0.9678641775629674,weight_cos_l29,0.8671328671328673,loss_gap_closed_vs_base
12,0.9714665020123544,weight_cos_all,0.8601398601398602,loss_gap_closed_vs_base
12,0.9563443405121249,weight_cos_l20,0.8601398601398602,loss_gap_closed_vs_base
12,0.9566104705118134,weight_cos_l15,0.8461538461538463,loss_gap_closed_vs_base
15,0.8832258722385364,sign_agree_l29,0.8453237410071943,loss_gap_closed_vs_base
15,0.7279501466381967,act_rowcos_l0,0.8028725406605725,loss_gap_closed_vs_base
15,0.8182829629953322,act_rowcos_l15,0.7741985213512662,loss_gap_closed_vs_base
15,0.8679939657300202,act_rowcos_l20,0.7455245020419601,loss_gap_closed_vs_base
15,0.7413739541228006,act_rowcos_l10,0.6989292206643375,loss_gap_closed_vs_base
15,0.8202388470698337,act_rowcos_l25,0.6989292206643375,loss_gap_closed_vs_base
15,0.4668607758352777,act_rowcos_l5,0.6093229103227559,loss_gap_closed_vs_base
15,0.7100862865796878,act_rowcos_l29,0.519716599981174,loss_gap_closed_vs_base
15,0.33447801425435747,act_rowcos_logits,0.14695434896019405,loss_gap_closed_vs_base
15,0.7678691570168823,act_rowcos_l25,0.9139843654841338,loss_improvement_vs_base
15,0.7985060801142757,act_rowcos_l20,0.7921197834195827,loss_improvement_vs_base
15,0.7180667944788013,act_rowcos_l29,0.7383559972146335,loss_improvement_vs_base
15,0.6156983945010195,sign_agree_l10,0.6870503597122303,loss_improvement_vs_base
15,0.579199755510175,sign_agree_l20,0.683453237410072,loss_improvement_vs_base
15,0.5763393388892513,sign_agree_l15,0.6798561151079137,loss_improvement_vs_base
15,0.614813265543786,sign_agree_all,0.6762589928057554,loss_improvement_vs_base
15,0.6031417258575457,sign_agree_l29,0.6762589928057554,loss_improvement_vs_base
15,0.625179334399224,sign_agree_l25,0.6654676258992805,loss_improvement_vs_base
15,0.6360338422561216,sign_agree_l5,0.6438848920863309,loss_improvement_vs_base
15,0.5660486556445379,act_rowcos_logits,0.6308284248047354,loss_improvement_vs_base
15,0.6113042093525424,sign_agree_l0,0.6079136690647483,loss_improvement_vs_base
15,0.6112644432483763,act_rowcos_l15,0.5914016482544395,loss_improvement_vs_base
15,0.5045281017538419,act_rowcos_l10,0.5233008523948375,loss_improvement_vs_base
12,0.531400383568766,weight_cos_l25,0.5034965034965035,loss_improvement_vs_base
12,0.5414538485349214,weight_cos_l5,0.4755244755244756,loss_improvement_vs_base
12,0.5086058987352498,weight_cos_l10,0.4755244755244756,loss_improvement_vs_base
12,0.5014688287350102,weight_cos_l29,0.4755244755244756,loss_improvement_vs_base
15,0.3928678296169142,act_rowcos_l0,0.46595281377622505,loss_improvement_vs_base
12,0.4918245675534561,weight_cos_all,0.41958041958041964,loss_improvement_vs_base
12,0.4342467182312036,weight_cos_l20,0.37762237762237766,loss_improvement_vs_base
12,0.4375566357988652,weight_cos_l15,0.3706293706293707,loss_improvement_vs_base
12,0.4883471242716561,weight_cos_l0,0.35664335664335667,loss_improvement_vs_base
15,0.01868940325510529,act_rowcos_l5,0.08602205792791846,loss_improvement_vs_base
