donor_expert,expert_loss,layer,loss_delta_vs_target,loss_gap_closed_vs_expert,patched_loss,target_loss,target_model,task
arith,1.0545302033424377,0,0.12030678987503052,0.12263808224536585,1.9152138829231262,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,5,0.17179811000823975,0.17512719578566155,1.863722562789917,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,10,0.22684848308563232,0.23124432922523114,1.8086721897125244,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,15,0.1587597131729126,0.16183614226241866,1.8767609596252441,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,20,0.10814803838729858,0.11024371974510838,1.9273726344108582,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,25,0.03750443458557129,0.038231191589842665,1.9980162382125854,2.0355206727981567,merge_all_linear,arith
arith,1.0545302033424377,29,0.08561205863952637,0.08727104014275117,1.9499086141586304,2.0355206727981567,merge_all_linear,arith
polite,0.2583068311214447,0,0.028654664754867554,0.22492585448061642,0.3570482134819031,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,5,0.02004048228263855,0.15730850945867103,0.3656623959541321,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,10,0.027290239930152893,0.2142157511798483,0.35841263830661774,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,15,0.03388833999633789,0.26600778253080565,0.35181453824043274,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,20,0.03348405659198761,0.2628343449438113,0.352218821644783,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,25,0.02001495659351349,0.15710814461452519,0.36568792164325714,0.38570287823677063,merge_all_linear,polite
polite,0.2583068311214447,29,0.03654943406581879,0.2868961391928607,0.34915344417095184,0.38570287823677063,merge_all_linear,polite
refusal,0.23539680242538452,0,0.05127428472042084,0.20275274453061914,0.4370132237672806,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,5,0.04110182821750641,0.16252802982557282,0.447185680270195,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,10,0.04900383949279785,0.19377477431188164,0.43928366899490356,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,15,0.0412258505821228,0.16301844865727885,0.4470616579055786,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,20,0.06395615637302399,0.2529003828130561,0.42433135211467743,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,25,0.05766899883747101,0.22803921795077875,0.4306185096502304,0.4882875084877014,merge_all_linear,refusal
refusal,0.23539680242538452,29,0.117388054728508,0.464184930147577,0.3708994537591934,0.4882875084877014,merge_all_linear,refusal
