basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
centered_pca,32,0.9949091184985684,726.7301025390625,16,55,32,730.44873046875
raw_pca,32,0.9954927948126157,942.890625,16,55,32,947.15966796875
centered_pca,32,0.9942521640799759,1130.610595703125,17,55,32,1137.146728515625
raw_pca,32,0.9943636524157254,1336.371826171875,17,55,32,1343.94677734375
centered_pca,32,0.9943777807265902,1522.141845703125,18,55,32,1530.748046875
raw_pca,32,0.99463390825109,1834.3438720703125,18,55,32,1844.240234375
centered_pca,32,0.994362216060043,3024.5498046875,20,55,32,3041.6982421875
raw_pca,32,0.9950361721850602,3711.105224609375,20,55,32,3729.618408203125
centered_pca,32,0.9932659415971702,4709.08837890625,21,55,32,4741.0146484375
raw_pca,32,0.9938484640235626,5800.26171875,21,55,32,5836.1630859375
centered_pca,32,0.9948076464087845,5830.79931640625,22,55,32,5861.23291015625
raw_pca,32,0.9946339630124615,6543.98046875,22,55,32,6579.28515625
centered_pca,32,0.9966534178223023,6269.9091796875,23,55,32,6290.96240234375
raw_pca,32,0.9963156497587967,7570.5234375,23,55,32,7598.51904296875
