active_layers,eval_mode,harmful_gap_closed,harmful_gap_closed_vs_pca64,harmful_refusal_loss,variant
none,heldout_failures_harmful_only,0.9186592052456052,0.0,0.39242788461538464,pca64
16+17+18+19+20+21+22+23,heldout_failures_harmful_only,0.938782431744955,0.24739402362751908,0.3389423076923077,full_16+17+18+19+20+21+22+23
16,heldout_failures_harmful_only,0.9309253292634673,0.15079916608756092,0.35982572115384615,only_16
17,heldout_failures_harmful_only,0.9333559437001866,0.18068102849200832,0.35336538461538464,only_17
18,heldout_failures_harmful_only,0.9288338703295461,0.12508686587908288,0.36538461538461536,only_18
19,heldout_failures_harmful_only,0.9091628511672603,-0.11674774148714367,0.4176682692307692,only_19
20,heldout_failures_harmful_only,0.9187157311627382,0.0006949270326617285,0.3922776442307692,only_20
21,heldout_failures_harmful_only,0.9259510485557628,0.08964558721334269,0.373046875,only_21
22,heldout_failures_harmful_only,0.9209202419309254,0.027797081306462974,0.3864182692307692,only_22
23,heldout_failures_harmful_only,0.9223333898592505,0.04517025712300208,0.38266225961538464,only_23
17+18+19+20+21+22+23,heldout_failures_harmful_only,0.937199706065231,0.22793606671299532,0.34314903846153844,drop_16
16+18+19+20+21+22+23,heldout_failures_harmful_only,0.9391781131648861,0.25225851285615014,0.337890625,drop_17
16+17+19+20+21+22+23,heldout_failures_harmful_only,0.9380475948222259,0.23835997220291869,0.3408954326923077,drop_18
16+17+18+20+21+22+23,heldout_failures_harmful_only,0.9468091119778419,0.3460736622654622,0.3176081730769231,drop_19
16+17+18+19+21+22+23,heldout_failures_harmful_only,0.9407608388446104,0.2717164697706742,0.3336838942307692,drop_20
16+17+18+19+20+22+23,heldout_failures_harmful_only,0.9300774405064722,0.1403752605976373,0.3620793269230769,drop_21
16+17+18+19+20+21+23,heldout_failures_harmful_only,0.9400260019218812,0.2626824183460738,0.3356370192307692,drop_22
16+17+18+19+20+21+22,heldout_failures_harmful_only,0.9364083432253689,0.21820708825573318,0.34525240384615385,drop_23
16+17+18,heldout_failures_harmful_only,0.9409586795545758,0.2741487143849897,0.33315805288461536,window_16-18
19+20+21,heldout_failures_harmful_only,0.917924368322876,-0.009034051424600415,0.39438100961538464,window_19-21
22+23,heldout_failures_harmful_only,0.9300209145893393,0.13968033356497583,0.3622295673076923,window_22-23
16+17+18+19,heldout_failures_harmful_only,0.9323950031089254,0.16886726893676177,0.35591947115384615,window_16-19
20+21+22+23,heldout_failures_harmful_only,0.9392063761234527,0.25260597637248106,0.3378155048076923,window_20-23
16+17+18+19+20+21,heldout_failures_harmful_only,0.9392346390820192,0.25295343988881164,0.33774038461538464,window_16-21
18+19+20+21+22+23,heldout_failures_harmful_only,0.9361257136397038,0.2147324530924253,0.3460036057692308,window_18-23
none,stress_permission_harmful_only,0.891989034419738,0.0,0.3674879807692308,pca64
16+17+18+19+20+21+22+23,stress_permission_harmful_only,0.9092902832774901,0.16018048505358146,0.32481971153846156,full_16+17+18+19+20+21+22+23
16,stress_permission_harmful_only,0.9228144989339019,0.2853919909757474,0.29146634615384615,only_16
17,stress_permission_harmful_only,0.9069753274444106,0.13874788494077842,0.33052884615384615,only_17
18,stress_permission_harmful_only,0.9002741395065489,0.07670614777213776,0.34705528846153844,only_18
19,stress_permission_harmful_only,0.8796832165702102,-0.1139311900733219,0.39783653846153844,only_19
20,stress_permission_harmful_only,0.8906487968321657,-0.012408347433728048,0.3707932692307692,only_20
21,stress_permission_harmful_only,0.889795918367347,-0.020304568527918815,0.37289663461538464,only_21
22,stress_permission_harmful_only,0.8904051172707889,-0.014664410603496898,0.3713942307692308,only_22
23,stress_permission_harmful_only,0.8957660676210781,0.03496897913141571,0.3581730769230769,only_23
17+18+19+20+21+22+23,stress_permission_harmful_only,0.9000304599451721,0.07445008460236892,0.34765625,drop_16
16+18+19+20+21+22+23,stress_permission_harmful_only,0.915747791653975,0.21996615905245345,0.3088942307692308,drop_17
16+17+19+20+21+22+23,stress_permission_harmful_only,0.9146512336277796,0.20981387478849406,0.3115985576923077,drop_18
16+17+18+20+21+22+23,stress_permission_harmful_only,0.9175144684739567,0.2363226170332769,0.30453725961538464,drop_19
16+17+18+19+21+22+23,stress_permission_harmful_only,0.9123362777946998,0.18838127467569102,0.3173076923076923,drop_20
16+17+18+19+20+22+23,stress_permission_harmful_only,0.90246725555894,0.09701071630005637,0.34164663461538464,drop_21
16+17+18+19+20+21+23,stress_permission_harmful_only,0.9141638745050258,0.20530174844895657,0.3128004807692308,drop_22
16+17+18+19+20+21+22,stress_permission_harmful_only,0.9053914102954614,0.12408347433728152,0.33443509615384615,drop_23
16+17+18,stress_permission_harmful_only,0.9200121839780688,0.25944726452340666,0.29837740384615385,window_16-18
19+20+21,stress_permission_harmful_only,0.881145293938471,-0.10039481105470943,0.3942307692307692,window_19-21
22+23,stress_permission_harmful_only,0.9008833384099908,0.08234630569655947,0.34555288461538464,window_22-23
16+17+18+19,stress_permission_harmful_only,0.9078282059092293,0.14664410603496897,0.3284254807692308,window_16-19
20+21+22+23,stress_permission_harmful_only,0.8946695095948828,0.024816694867456305,0.36087740384615385,window_20-23
16+17+18+19+20+21,stress_permission_harmful_only,0.9091684434968016,0.15905245346869723,0.3251201923076923,window_16-21
18+19+20+21+22+23,stress_permission_harmful_only,0.897837343892781,0.0541455160744501,0.35306490384615385,window_18-23
