basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
centered_pca,1,0.06339447537043147,175.5385284423828,16,164,1,2768.98779296875
centered_pca,2,0.11545656349703318,319.69781494140625,16,164,2,2768.98779296875
centered_pca,4,0.19851365403683763,549.681884765625,16,164,4,2768.98779296875
centered_pca,8,0.3131811214012905,867.1947021484375,16,164,8,2768.98779296875
centered_pca,16,0.47729570347636974,1321.6259765625,16,164,16,2768.98779296875
centered_pca,32,0.7004551492561922,1939.5517578125,16,164,32,2768.98779296875
centered_pca,64,0.9247688236425801,2560.673583984375,16,164,64,2768.98779296875
raw_pca,1,0.18613019800050515,627.193603515625,16,164,1,3369.64990234375
raw_pca,2,0.23609931136496323,795.572021484375,16,164,2,3369.64990234375
raw_pca,4,0.31647321281725094,1066.4039306640625,16,164,4,3369.64990234375
raw_pca,8,0.4193842872736773,1413.17822265625,16,164,8,3369.64990234375
raw_pca,16,0.559887070693517,1886.6234130859375,16,164,16,3369.64990234375
raw_pca,32,0.7481348833792225,2520.95263671875,16,164,32,3369.64990234375
raw_pca,64,0.9371367487494282,3157.82275390625,16,164,64,3369.64990234375
centered_pca,1,0.07176769074420399,319.61260986328125,17,164,1,4453.43310546875
centered_pca,2,0.1285876355484615,572.6564331054688,17,164,2,4453.43310546875
centered_pca,4,0.21491089816044526,957.09130859375,17,164,4,4453.43310546875
centered_pca,8,0.3383319366828896,1506.7386474609375,17,164,8,4453.43310546875
centered_pca,16,0.5060308875559159,2253.57470703125,17,164,16,4453.43310546875
centered_pca,32,0.7260550832502707,3233.437744140625,17,164,32,4453.43310546875
centered_pca,64,0.9324536865925176,4152.6201171875,17,164,64,4453.43310546875
raw_pca,1,0.11957415791843566,597.5022583007812,17,164,1,4996.91796875
raw_pca,2,0.18048743766665545,901.8809204101562,17,164,2,4996.91796875
raw_pca,4,0.27532610921888573,1375.781982421875,17,164,4,4996.91796875
raw_pca,8,0.3896416668164986,1947.0074462890625,17,164,8,4996.91796875
raw_pca,16,0.5474615309749525,2735.620361328125,17,164,16,4996.91796875
raw_pca,32,0.748460623384258,3739.996337890625,17,164,32,4996.91796875
raw_pca,64,0.9377827426437078,4686.0234375,17,164,64,4996.91796875
centered_pca,1,0.07632709644098422,455.2610168457031,18,164,1,5964.60546875
centered_pca,2,0.1310985675426458,781.9512329101562,18,164,2,5964.60546875
centered_pca,4,0.2181089912563632,1300.93408203125,18,164,4,5964.60546875
centered_pca,8,0.33543336128686213,2000.7276611328125,18,164,8,5964.60546875
centered_pca,16,0.5107243560482769,3046.269287109375,18,164,16,5964.60546875
centered_pca,32,0.7295126065939765,4351.2548828125,18,164,32,5964.60546875
centered_pca,64,0.9335641436887787,5568.341796875,18,164,64,5964.60546875
raw_pca,1,0.1329489587311733,905.946533203125,18,164,1,6814.2431640625
raw_pca,2,0.198743924468868,1354.2894287109375,18,164,2,6814.2431640625
raw_pca,4,0.2893305325400539,1971.568603515625,18,164,4,6814.2431640625
