effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq,uncentered_n_rows,uncentered_residual_energy
1,0.06339447537043147,175.5385284423828,16,164,1,2768.98779296875,164,3369.6495361328125
2,0.11545656349703318,319.69781494140625,16,164,2,2768.98779296875,164,3369.6495361328125
4,0.19851365403683763,549.681884765625,16,164,4,2768.98779296875,164,3369.6495361328125
8,0.3131811214012905,867.1947021484375,16,164,8,2768.98779296875,164,3369.6495361328125
16,0.47729570347636974,1321.6259765625,16,164,16,2768.98779296875,164,3369.6495361328125
32,0.7004551492561922,1939.5517578125,16,164,32,2768.98779296875,164,3369.6495361328125
64,0.9247688236425801,2560.673583984375,16,164,64,2768.98779296875,164,3369.6495361328125
1,0.0717679717006422,319.6138610839844,17,164,1,4453.43310546875,164,4996.9178466796875
2,0.12858799188345632,572.6580200195312,17,164,2,4453.43310546875,164,4996.9178466796875
4,0.2149109392760216,957.0914916992188,17,164,4,4453.43310546875,164,4996.9178466796875
8,0.3383315803478948,1506.737060546875,17,164,8,4453.43310546875,164,4996.9178466796875
16,0.506043880078034,2253.632568359375,17,164,16,4453.43310546875,164,4996.9178466796875
32,0.7260372116797621,3233.358154296875,17,164,32,4453.43310546875,164,4996.9178466796875
64,0.9327576129327017,4153.9736328125,17,164,64,4453.43310546875,164,4996.9178466796875
1,0.07632691736539574,455.25994873046875,18,164,1,5964.60546875,164,6814.24365234375
2,0.13109839358350267,781.9501953125,18,164,2,5964.60546875,164,6814.24365234375
4,0.21810870473542165,1300.932373046875,18,164,4,5964.60546875,164,6814.24365234375
8,0.33542683270255064,2000.688720703125,18,164,8,5964.60546875,164,6814.24365234375
16,0.5106731915944251,3045.964111328125,18,164,16,5964.60546875,164,6814.24365234375
32,0.7292019360301885,4349.40185546875,18,164,32,5964.60546875,164,6814.24365234375
64,0.9319098536352795,5558.474609375,18,164,64,5964.60546875,164,6814.24365234375
1,0.08258319108072049,792.9497680664062,19,164,1,9601.830078125,164,10493.16748046875
2,0.1365920411697233,1311.5335693359375,19,164,2,9601.830078125,164,10493.16748046875
4,0.22853210254311465,2194.326416015625,19,164,4,9601.830078125,164,10493.16748046875
8,0.3473775751163973,3335.46044921875,19,164,8,9601.830078125,164,10493.16748046875
16,0.5161996095714989,4956.4609375,19,164,16,9601.830078125,164,10493.16748046875
32,0.7337288403476144,7045.1396484375,19,164,32,9601.830078125,164,10493.16748046875
64,0.936339955538261,8990.5771484375,19,164,64,9601.830078125,164,10493.16748046875
1,0.07682287488637803,918.8624267578125,20,164,1,11960.7919921875,164,13712.600341796875
2,0.13419291882306536,1605.0535888671875,20,164,2,11960.7919921875,164,13712.600341796875
4,0.211974370034384,2535.38134765625,20,164,4,11960.7919921875,164,13712.600341796875
8,0.3342221627287922,3997.561767578125,20,164,8,11960.7919921875,164,13712.600341796875
16,0.5092650947500913,6091.2138671875,20,164,16,11960.7919921875,164,13712.600341796875
32,0.7376655708825981,8823.064453125,20,164,32,11960.7919921875,164,13712.600341796875
64,0.936411212056711,11200.2197265625,20,164,64,11960.7919921875,164,13712.600341796875
1,0.07499605920245077,1396.1717529296875,21,164,1,18616.6015625,164,21608.294921875
2,0.12530515280590032,2332.756103515625,21,164,2,18616.6015625,164,21608.294921875
4,0.2019060608286035,3758.8046875,21,164,4,18616.6015625,164,21608.294921875
8,0.3252207108910268,6054.50439453125,21,164,8,18616.6015625,164,21608.294921875
16,0.5008341114386731,9323.8291015625,21,164,16,18616.6015625,164,21608.294921875
32,0.7286320908127616,13564.6533203125,21,164,32,18616.6015625,164,21608.294921875
64,0.933219152931796,17373.369140625,21,164,64,18616.6015625,164,21608.294921875
1,0.07899250034654211,1823.1138916015625,22,164,1,23079.58203125,164,24814.689453125
2,0.13629783317674765,3145.697021484375,22,164,2,23079.58203125,164,24814.689453125
4,0.21472434120188416,4955.748046875,22,164,4,23079.58203125,164,24814.689453125
8,0.3327312781369761,7679.298828125,22,164,8,23079.58203125,164,24814.689453125
16,0.5085500695369097,11737.123046875,22,164,16,23079.58203125,164,24814.689453125
32,0.7324559569952676,16904.77734375,22,164,32,23079.58203125,164,24814.689453125
64,0.9370423972894061,21626.546875,22,164,64,23079.58203125,164,24814.689453125
1,0.06609601682402504,1543.8746337890625,23,164,1,23358.05859375,164,26523.04248046875
2,0.11381613395269934,2658.52392578125,23,164,2,23358.05859375,164,26523.04248046875
4,0.19154747934791644,4474.17724609375,23,164,4,23358.05859375,164,26523.04248046875
8,0.31516980973676945,7361.7548828125,23,164,8,23358.05859375,164,26523.04248046875
16,0.49939616162315503,11664.9248046875,23,164,16,23358.05859375,164,26523.04248046875
32,0.7232012907750821,16892.578125,23,164,32,23358.05859375,164,26523.04248046875
64,0.9383771292796935,21918.66796875,23,164,64,23358.05859375,164,26523.04248046875
