basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq,uncentered_n_rows,uncentered_residual_energy
centered_pca,32,0.9909909637801312,1161.4820556640625,16,57,32,1172.041015625,57,1429.533935546875
raw_pca,32,0.9919603727927744,1418.041015625,16,57,32,1429.533935546875,57,1429.533935546875
centered_pca,32,0.9922822259042027,1922.6800537109375,17,57,32,1937.63427734375,57,2179.32421875
raw_pca,32,0.9921140521755925,2162.137939453125,17,57,32,2179.323974609375,57,2179.32421875
centered_pca,32,0.9913478310592063,2548.07275390625,18,57,32,2570.3115234375,57,2940.92138671875
raw_pca,32,0.9916797373803484,2916.4521484375,18,57,32,2940.92138671875,57,2940.92138671875
centered_pca,32,0.9941764858988236,4353.04931640625,19,57,32,4378.5478515625,57,4805.8466796875
raw_pca,32,0.9936546812791304,4775.35205078125,19,57,32,4805.8466796875,57,4805.8466796875
centered_pca,32,0.993584783593194,5436.7353515625,20,57,32,5471.83837890625,57,6216.54248046875
raw_pca,32,0.9940436618523534,6179.51513671875,20,57,32,6216.54296875,57,6216.54248046875
centered_pca,32,0.9909053861382542,8524.5732421875,21,57,32,8602.8125,57,9923.6640625
raw_pca,32,0.9916510133212201,9840.8115234375,21,57,32,9923.6640625,57,9923.6640625
centered_pca,32,0.9941203088580164,10767.923828125,22,57,32,10831.6103515625,57,11843.4306640625
raw_pca,32,0.9929335171773251,11759.740234375,22,57,32,11843.431640625,57,11843.4306640625
centered_pca,32,0.9946108424520875,10476.716796875,23,57,32,10533.4833984375,57,11850.345703125
raw_pca,32,0.994262265698813,11782.3525390625,23,57,32,11850.3466796875,57,11850.345703125
