basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq,uncentered_n_rows,uncentered_residual_energy
centered_pca,32,0.9980015267623693,790.677978515625,16,52,32,792.2612915039062,52,994.1673583984375
raw_pca,32,0.9980279874630075,992.2067260742188,16,52,32,994.167236328125,52,994.1673583984375
centered_pca,32,0.9975472640118207,1265.8487548828125,17,52,32,1268.961181640625,52,1476.7279052734375
raw_pca,32,0.9973285893758255,1472.7828369140625,17,52,32,1476.727783203125,52,1476.7279052734375
centered_pca,32,0.9978009379244611,1723.622314453125,18,52,32,1727.4210205078125,52,2034.31884765625
raw_pca,32,0.9976390838817385,2029.51611328125,18,52,32,2034.3189697265625,52,2034.31884765625
centered_pca,32,0.9981920522639899,2614.18115234375,19,52,32,2618.916015625,52,2956.203125
raw_pca,32,0.9980012566266907,2950.29443359375,19,52,32,2956.203125,52,2956.203125
centered_pca,32,0.9976895460736264,3136.1435546875,20,52,32,3143.40625,52,3778.138427734375
raw_pca,32,0.9977126711183324,3769.496826171875,20,52,32,3778.138671875,52,3778.138427734375
centered_pca,32,0.9972541680565491,4821.64453125,21,52,32,4834.92041015625,52,5870.42578125
raw_pca,32,0.9972951846151492,5854.54736328125,21,52,32,5870.42578125,52,5870.42578125
centered_pca,32,0.9976836665490569,5764.412109375,22,52,32,5777.79541015625,52,6411.34765625
raw_pca,32,0.9975075473479944,6395.36767578125,22,52,32,6411.34765625,52,6411.34765625
centered_pca,32,0.9984291989291663,5946.5029296875,23,52,32,5955.8583984375,52,7095.87060546875
raw_pca,32,0.9982227917411528,7083.259765625,23,52,32,7095.87060546875,52,7095.87060546875
