alpha,loss_arith,loss_mean,loss_polite,loss_refusal,loss_worst,model,variant
,2.309778928756714,1.058456281820933,0.37870752811431885,0.48688238859176636,2.309778928756714,merge_all_linear,baseline
,1.4577713012695312,1.1809589167435963,1.769708514213562,0.3153969347476959,1.769708514213562,merge_arith_refusal,baseline
1.25,2.0154895782470703,1.367385357618332,0.38342347741127014,1.7032430171966553,2.0154895782470703,alpha_refusal_late_mlp_attn_a1p25,late_mlp_attn
1.0,1.9137356281280518,1.4172938267389934,0.348278284072876,1.9898675680160522,1.9898675680160522,alpha_refusal_late_mlp_attn_a1,late_mlp_attn
1.25,1.9321271181106567,1.4537659188111622,0.3533952534198761,2.075775384902954,2.075775384902954,alpha_refusal_late_mlp_a1p25,late_mlp
0.75,1.813840627670288,1.4832452237606049,0.32897666096687317,2.3069183826446533,2.3069183826446533,alpha_refusal_late_mlp_attn_a0p75,late_mlp_attn
1.0,1.852325677871704,1.49662180741628,0.3344353437423706,2.3031044006347656,2.3031044006347656,alpha_refusal_late_mlp_a1,late_mlp
0.75,1.7800216674804688,1.5547876159350078,0.32250064611434937,2.561840534210205,2.561840534210205,alpha_refusal_late_mlp_a0p75,late_mlp
0.5,1.7374728918075562,1.6113059520721436,0.31779944896698,2.7786455154418945,2.7786455154418945,alpha_refusal_late_mlp_attn_a0p5,late_mlp_attn
0.5,1.7048066854476929,1.649178425470988,0.31543052196502686,2.927298069000244,2.927298069000244,alpha_refusal_late_mlp_a0p5,late_mlp
0.25,1.6482428312301636,1.7101413905620575,0.31232836842536926,3.1698529720306396,3.1698529720306396,alpha_refusal_late_mlp_attn_a0p25,late_mlp_attn
0.25,1.6382249593734741,1.7327561378479004,0.31159913539886475,3.2484443187713623,3.2484443187713623,alpha_refusal_late_mlp_a0p25,late_mlp
,1.5842645168304443,1.80978062748909,0.3074401319026947,3.537637233734131,3.537637233734131,merge_arith_polite,baseline
,7.612951278686523,3.7500989685455957,3.402230978012085,0.23511464893817902,7.612951278686523,expert_refusal,baseline
,8.606549263000488,4.846670945485433,2.3438472747802734,3.589616298675537,8.606549263000488,base,baseline
