condition,eval_slice,eval_start,k,layer,layer_group,layers,random_seed,score_sum,selected_features,selector,variant
deterministic,4:8,4,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,1024,12,all,"12,13,14,15,16,17,18,19,20",,2736.9384765625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,13,all,"12,13,14,15,16,17,18,19,20",,3083.32421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,14,all,"12,13,14,15,16,17,18,19,20",,2846.755859375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,15,all,"12,13,14,15,16,17,18,19,20",,2386.951171875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,16,all,"12,13,14,15,16,17,18,19,20",,2268.193359375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,17,all,"12,13,14,15,16,17,18,19,20",,2717.767578125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,18,all,"12,13,14,15,16,17,18,19,20",,3329.482421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,19,all,"12,13,14,15,16,17,18,19,20",,3043.90234375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,20,all,"12,13,14,15,16,17,18,19,20",,3095.6640625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,2048,12,all,"12,13,14,15,16,17,18,19,20",,2839.0224609375,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,13,all,"12,13,14,15,16,17,18,19,20",,3205.2294921875,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,14,all,"12,13,14,15,16,17,18,19,20",,2922.650390625,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,15,all,"12,13,14,15,16,17,18,19,20",,2403.408203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,16,all,"12,13,14,15,16,17,18,19,20",,2271.283203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,17,all,"12,13,14,15,16,17,18,19,20",,2735.533203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,18,all,"12,13,14,15,16,17,18,19,20",,3588.328125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,19,all,"12,13,14,15,16,17,18,19,20",,3202.28125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,20,all,"12,13,14,15,16,17,18,19,20",,3224.609375,2048,delta_abs,mix_decode_delta_abs_k2048
random,4:8,4,1024,12,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,15,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,all,"12,13,14,15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,15,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,all,"12,13,14,15,16,17,18,19,20",0,,1893,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,17,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,all,"12,13,14,15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,12,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,13,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,14,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,15,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,all,"12,13,14,15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,12,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,13,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,14,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,15,all,"12,13,14,15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,all,"12,13,14,15,16,17,18,19,20",1,,1893,random_active,mix_decode_random_active_k2048
