active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
144.0,1.5382719494047619,129.21484375,9338,all,2.0657634493670884,163.1953125,36.40362935126582,0.5274914999623266,12,"12,13,14,15,16,17,18,19,20",1
23.0,0.0,0.0,12370,all,1.4849683544303798,117.3125,1.6758801424050633,1.4849683544303798,12,"12,13,14,15,16,17,18,19,20",2
30.0,0.027669270833333332,2.32421875,13842,all,1.4265723892405062,112.69921875,2.361600079113924,1.398903118407173,12,"12,13,14,15,16,17,18,19,20",3
108.0,0.43754650297619047,36.75390625,10259,all,0.9418883504746836,74.4091796875,1.9466722705696202,0.5043418474984931,12,"12,13,14,15,16,17,18,19,20",4
37.0,0.19156901041666666,16.091796875,7256,all,0.7225820806962026,57.083984375,0.776231210443038,0.5310130702795359,12,"12,13,14,15,16,17,18,19,20",5
49.0,0.09554036458333333,8.025390625,6358,all,0.7079954509493671,55.931640625,1.1988479034810127,0.6124550863660337,12,"12,13,14,15,16,17,18,19,20",6
31.0,0.08696056547619048,7.3046875,11704,all,0.6446425039556962,50.9267578125,1.2104553995253164,0.5576819384795058,12,"12,13,14,15,16,17,18,19,20",7
42.0,0.14610072544642858,12.2724609375,4288,all,0.642157832278481,50.73046875,0.8426127373417721,0.4960571068320524,12,"12,13,14,15,16,17,18,19,20",8
71.0,0.19775390625,16.611328125,9334,all,0.6278060719936709,49.5966796875,1.813884493670886,0.4300521657436709,12,"12,13,14,15,16,17,18,19,20",9
99.0,0.3846958705357143,32.314453125,9487,all,0.6162974683544303,48.6875,1.7198501780063291,0.23160159781871603,12,"12,13,14,15,16,17,18,19,20",10
121.0,0.27197265625,22.845703125,10090,all,0.6071004746835443,47.9609375,3.691554588607595,0.33512781843354433,12,"12,13,14,15,16,17,18,19,20",11
66.0,0.22141229538690477,18.5986328125,9745,all,0.6020816851265823,47.564453125,0.7675163172468354,0.38066938973967757,12,"12,13,14,15,16,17,18,19,20",12
88.0,0.08923921130952381,7.49609375,8455,all,0.6010556764240507,47.4833984375,2.1567568235759493,0.5118164651145268,12,"12,13,14,15,16,17,18,19,20",13
30.0,0.12637183779761904,10.615234375,10397,all,0.5788914161392406,45.732421875,1.1205003955696202,0.4525195783416215,12,"12,13,14,15,16,17,18,19,20",14
39.0,0.11453683035714286,9.62109375,11896,all,0.5639586629746836,44.552734375,0.8231803797468354,0.4494218326175407,12,"12,13,14,15,16,17,18,19,20",15
64.0,0.17479306175595238,14.6826171875,10683,all,0.5387658227848101,42.5625,1.3837148931962024,0.3639727610288577,12,"12,13,14,15,16,17,18,19,20",16
60.0,0.32669503348214285,27.4423828125,14995,all,0.5285799050632911,41.7578125,1.7060670490506329,0.20188487158114826,12,"12,13,14,15,16,17,18,19,20",17
52.0,0.2484188988095238,20.8671875,2781,all,0.5208910205696202,41.150390625,1.1582278481012658,0.2724721217600964,12,"12,13,14,15,16,17,18,19,20",18
28.0,0.058779761904761904,4.9375,9080,all,0.5186164952531646,40.970703125,0.8310423259493671,0.45983673334840264,12,"12,13,14,15,16,17,18,19,20",19
41.0,0.2362118675595238,19.841796875,2307,all,0.5035601265822784,39.78125,0.47174149525316456,0.2673482590227546,12,"12,13,14,15,16,17,18,19,20",20
43.0,0.0675688244047619,5.67578125,3,all,0.49573526503164556,39.1630859375,1.2931912579113924,0.42816644062688364,12,"12,13,14,15,16,17,18,19,20",21
26.0,0.08517020089285714,7.154296875,13145,all,0.4908771756329114,38.779296875,0.6793660996835443,0.40570697474005424,12,"12,13,14,15,16,17,18,19,20",22
34.0,0.07231212797619048,6.07421875,15885,all,0.47700751582278483,37.68359375,0.6684137658227848,0.40469538784659437,12,"12,13,14,15,16,17,18,19,20",23
82.0,0.21747116815476192,18.267578125,8424,all,0.4704806170886076,37.16796875,1.4368571993670887,0.2530094489338457,12,"12,13,14,15,16,17,18,19,20",24
26.0,0.05124627976190476,4.3046875,9203,all,0.46847804588607594,37.009765625,0.5239072389240507,0.4172317661241712,12,"12,13,14,15,16,17,18,19,20",25
12.0,0.008510044642857142,0.71484375,5722,all,0.4618275316455696,36.484375,0.5193581882911392,0.45331748700271246,12,"12,13,14,15,16,17,18,19,20",26
35.0,0.08730933779761904,7.333984375,1450,all,0.45824268196202533,36.201171875,0.7619659810126582,0.37093334416440626,12,"12,13,14,15,16,17,18,19,20",27
27.0,0.06412760416666667,5.38671875,8684,all,0.4542004549050633,35.8818359375,0.5365407436708861,0.3900728507383966,12,"12,13,14,15,16,17,18,19,20",28
25.0,0.0008370535714285714,0.0703125,609,all,0.45102353639240506,35.630859375,0.7639314675632911,0.4501864828209765,12,"12,13,14,15,16,17,18,19,20",29
44.0,0.17547898065476192,14.740234375,3291,all,0.44721617879746833,35.330078125,0.8993522547468354,0.2717371981427064,12,"12,13,14,15,16,17,18,19,20",30
22.0,0.032459077380952384,2.7265625,16124,all,0.446845332278481,35.30078125,0.7321993670886076,0.4143862548975286,12,"12,13,14,15,16,17,18,19,20",31
31.0,0.19663783482142858,16.517578125,15522,all,0.4357693829113924,34.42578125,0.6553352452531646,0.2391315480899638,12,"12,13,14,15,16,17,18,19,20",32
39.0,0.04936290922619048,4.146484375,5059,all,0.42919303797468356,33.90625,0.8536886867088608,0.3798301287484931,12,"12,13,14,15,16,17,18,19,20",33
45.0,0.328369140625,27.5830078125,1945,all,0.42863676819620256,33.8623046875,0.21727897547468356,0.10026762757120256,12,"12,13,14,15,16,17,18,19,20",34
10.0,0.0,0.0,2539,all,0.42716574367088606,33.74609375,0.450059335443038,0.42716574367088606,12,"12,13,14,15,16,17,18,19,20",35
67.0,0.38955543154761907,32.72265625,8218,all,0.41972409018987344,33.158203125,0.707303204113924,0.030168658642254376,12,"12,13,14,15,16,17,18,19,20",36
19.0,0.003720238095238095,0.3125,7879,all,0.4196004746835443,33.1484375,0.9078075553797469,0.4158802365883062,12,"12,13,14,15,16,17,18,19,20",37
44.0,0.10170200892857142,8.54296875,11045,all,0.41543463212025317,32.8193359375,0.736328125,0.3137326231916817,12,"12,13,14,15,16,17,18,19,20",38
61.0,0.26320684523809523,22.109375,506,all,0.41464349287974683,32.7568359375,1.2399006131329113,0.1514366476416516,12,"12,13,14,15,16,17,18,19,20",39
37.0,0.22430710565476192,18.841796875,8707,all,0.4115901898734177,32.515625,0.6120945411392406,0.1872830842186558,12,"12,13,14,15,16,17,18,19,20",40
29.0,0.22406296502976192,18.8212890625,2651,all,0.4059038765822785,32.06640625,2.2112836234177213,0.18184091155251658,12,"12,13,14,15,16,17,18,19,20",41
32.0,0.08491443452380952,7.1328125,256,all,0.40046479430379744,31.63671875,0.8029568829113924,0.3155503597799879,12,"12,13,14,15,16,17,18,19,20",42
24.0,0.06731305803571429,5.654296875,6194,all,0.39922863924050633,31.5390625,0.7164013053797469,0.33191558120479203,12,"12,13,14,15,16,17,18,19,20",43
40.0,0.13124302455357142,11.0244140625,2615,all,0.3918117088607595,30.953125,0.596543710443038,0.26056868430718805,12,"12,13,14,15,16,17,18,19,20",44
63.0,0.22365606398809523,18.787109375,6971,all,0.3904519382911392,30.845703125,1.1662628560126582,0.166795874303044,12,"12,13,14,15,16,17,18,19,20",45
18.0,0.0,0.0,10642,all,0.3901058148734177,30.818359375,0.2861698971518987,0.3901058148734177,12,"12,13,14,15,16,17,18,19,20",46
