k,layer,score_sum,selected_features,selector,variant
all,12,,all,all,full_decode
all,13,,all,all,full_decode
all,14,,all,all,full_decode
all,15,,all,all,full_decode
all,16,,all,all,full_decode
all,17,,all,all,full_decode
all,18,,all,all,full_decode
all,19,,all,all,full_decode
all,20,,all,all,full_decode
all,12,,all,all,delta_add_all
all,13,,all,all,delta_add_all
all,14,,all,all,delta_add_all
all,15,,all,all,delta_add_all
all,16,,all,all,delta_add_all
all,17,,all,all,delta_add_all
all,18,,all,all,delta_add_all
all,19,,all,all,delta_add_all
all,20,,all,all,delta_add_all
1024,12,10738.267578125,1024,delta_abs,delta_add_delta_abs_k1024
1024,13,12907.3076171875,1024,delta_abs,delta_add_delta_abs_k1024
1024,14,13504.689453125,1024,delta_abs,delta_add_delta_abs_k1024
1024,15,12030.822265625,1024,delta_abs,delta_add_delta_abs_k1024
1024,16,13853.7421875,1024,delta_abs,delta_add_delta_abs_k1024
1024,17,15506.955078125,1024,delta_abs,delta_add_delta_abs_k1024
1024,18,20827.794921875,1024,delta_abs,delta_add_delta_abs_k1024
1024,19,21510.296875,1024,delta_abs,delta_add_delta_abs_k1024
1024,20,20598.587890625,1024,delta_abs,delta_add_delta_abs_k1024
1024,12,,1024,random_active,delta_add_random_active_k1024
1024,13,,1024,random_active,delta_add_random_active_k1024
1024,14,,1024,random_active,delta_add_random_active_k1024
1024,15,,1024,random_active,delta_add_random_active_k1024
1024,16,,1024,random_active,delta_add_random_active_k1024
1024,17,,1024,random_active,delta_add_random_active_k1024
1024,18,,1024,random_active,delta_add_random_active_k1024
1024,19,,1024,random_active,delta_add_random_active_k1024
1024,20,,1024,random_active,delta_add_random_active_k1024
256,12,6020.779296875,256,delta_abs,mix_decode_delta_abs_k256
256,13,7396.400390625,256,delta_abs,mix_decode_delta_abs_k256
256,14,7638.708984375,256,delta_abs,mix_decode_delta_abs_k256
256,15,6668.736328125,256,delta_abs,mix_decode_delta_abs_k256
256,16,7959.908203125,256,delta_abs,mix_decode_delta_abs_k256
256,17,8525.52734375,256,delta_abs,mix_decode_delta_abs_k256
256,18,10768.060546875,256,delta_abs,mix_decode_delta_abs_k256
256,19,10716.603515625,256,delta_abs,mix_decode_delta_abs_k256
256,20,10597.64453125,256,delta_abs,mix_decode_delta_abs_k256
512,12,8314.091796875,512,delta_abs,mix_decode_delta_abs_k512
512,13,10091.830078125,512,delta_abs,mix_decode_delta_abs_k512
512,14,10438.365234375,512,delta_abs,mix_decode_delta_abs_k512
512,15,9193.515625,512,delta_abs,mix_decode_delta_abs_k512
512,16,10872.08984375,512,delta_abs,mix_decode_delta_abs_k512
512,17,11726.271484375,512,delta_abs,mix_decode_delta_abs_k512
512,18,15238.7265625,512,delta_abs,mix_decode_delta_abs_k512
512,19,15561.630859375,512,delta_abs,mix_decode_delta_abs_k512
512,20,15062.185546875,512,delta_abs,mix_decode_delta_abs_k512
1024,12,10738.267578125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,13,12907.3076171875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,14,13504.689453125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,15,12030.822265625,1024,delta_abs,mix_decode_delta_abs_k1024
1024,16,13853.7421875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,17,15506.955078125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,18,20827.794921875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,19,21510.296875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,20,20598.587890625,1024,delta_abs,mix_decode_delta_abs_k1024
1024,12,,1024,random_active,mix_decode_random_active_k1024
1024,13,,1024,random_active,mix_decode_random_active_k1024
1024,14,,1024,random_active,mix_decode_random_active_k1024
1024,15,,1024,random_active,mix_decode_random_active_k1024
1024,16,,1024,random_active,mix_decode_random_active_k1024
1024,17,,1024,random_active,mix_decode_random_active_k1024
1024,18,,1024,random_active,mix_decode_random_active_k1024
1024,19,,1024,random_active,mix_decode_random_active_k1024
1024,20,,1024,random_active,mix_decode_random_active_k1024
2048,12,,2048,random_active,mix_decode_random_active_k2048
2048,13,,2048,random_active,mix_decode_random_active_k2048
2048,14,,2048,random_active,mix_decode_random_active_k2048
2048,15,,2048,random_active,mix_decode_random_active_k2048
2048,16,,2048,random_active,mix_decode_random_active_k2048
2048,17,,2048,random_active,mix_decode_random_active_k2048
2048,18,,2048,random_active,mix_decode_random_active_k2048
2048,19,,2048,random_active,mix_decode_random_active_k2048
2048,20,,2048,random_active,mix_decode_random_active_k2048
