k,layer,score_sum,selected_features,selector,variant
all,12,,all,all,full_decode
all,13,,all,all,full_decode
all,14,,all,all,full_decode
all,15,,all,all,full_decode
all,16,,all,all,full_decode
all,17,,all,all,full_decode
all,18,,all,all,full_decode
all,19,,all,all,full_decode
all,20,,all,all,full_decode
all,12,,all,all,delta_add_all
all,13,,all,all,delta_add_all
all,14,,all,all,delta_add_all
all,15,,all,all,delta_add_all
all,16,,all,all,delta_add_all
all,17,,all,all,delta_add_all
all,18,,all,all,delta_add_all
all,19,,all,all,delta_add_all
all,20,,all,all,delta_add_all
1024,12,10738.267578125,1024,delta_abs,delta_add_delta_abs_k1024
1024,13,12907.3076171875,1024,delta_abs,delta_add_delta_abs_k1024
1024,14,13504.689453125,1024,delta_abs,delta_add_delta_abs_k1024
1024,15,12030.822265625,1024,delta_abs,delta_add_delta_abs_k1024
1024,16,13853.7421875,1024,delta_abs,delta_add_delta_abs_k1024
1024,17,15506.955078125,1024,delta_abs,delta_add_delta_abs_k1024
1024,18,20827.794921875,1024,delta_abs,delta_add_delta_abs_k1024
1024,19,21510.296875,1024,delta_abs,delta_add_delta_abs_k1024
1024,20,20598.587890625,1024,delta_abs,delta_add_delta_abs_k1024
2048,12,12973.1572265625,2048,delta_abs,delta_add_delta_abs_k2048
2048,13,15489.8251953125,2048,delta_abs,delta_add_delta_abs_k2048
2048,14,16410.9765625,2048,delta_abs,delta_add_delta_abs_k2048
2048,15,14943.994140625,2048,delta_abs,delta_add_delta_abs_k2048
2048,16,16958.275390625,2048,delta_abs,delta_add_delta_abs_k2048
2048,17,19372.220703125,2048,delta_abs,delta_add_delta_abs_k2048
2048,18,26874.6015625,2048,delta_abs,delta_add_delta_abs_k2048
2048,19,27629.73046875,2048,delta_abs,delta_add_delta_abs_k2048
2048,20,26142.25390625,2048,delta_abs,delta_add_delta_abs_k2048
4096,12,13805.4091796875,4096,delta_abs,delta_add_delta_abs_k4096
4096,13,16582.5625,4096,delta_abs,delta_add_delta_abs_k4096
4096,14,17636.029296875,4096,delta_abs,delta_add_delta_abs_k4096
4096,15,15436.900390625,4096,delta_abs,delta_add_delta_abs_k4096
4096,16,17211.494140625,4096,delta_abs,delta_add_delta_abs_k4096
4096,17,20718.310546875,4096,delta_abs,delta_add_delta_abs_k4096
4096,18,32239.033203125,4096,delta_abs,delta_add_delta_abs_k4096
4096,19,32446.587890625,4096,delta_abs,delta_add_delta_abs_k4096
4096,20,30209.419921875,4096,delta_abs,delta_add_delta_abs_k4096
2048,12,,2048,random_active,delta_add_random_active_k2048
2048,13,,2048,random_active,delta_add_random_active_k2048
2048,14,,2048,random_active,delta_add_random_active_k2048
2048,15,,2048,random_active,delta_add_random_active_k2048
2048,16,,2048,random_active,delta_add_random_active_k2048
2048,17,,2048,random_active,delta_add_random_active_k2048
2048,18,,2048,random_active,delta_add_random_active_k2048
2048,19,,2048,random_active,delta_add_random_active_k2048
2048,20,,2048,random_active,delta_add_random_active_k2048
4096,12,,4096,random_active,delta_add_random_active_k4096
4096,13,,4096,random_active,delta_add_random_active_k4096
4096,14,,4096,random_active,delta_add_random_active_k4096
4096,15,,4057,random_active,delta_add_random_active_k4096
4096,16,,3937,random_active,delta_add_random_active_k4096
4096,17,,4096,random_active,delta_add_random_active_k4096
4096,18,,4096,random_active,delta_add_random_active_k4096
4096,19,,4096,random_active,delta_add_random_active_k4096
4096,20,,4096,random_active,delta_add_random_active_k4096
1024,12,10738.267578125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,13,12907.3076171875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,14,13504.689453125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,15,12030.822265625,1024,delta_abs,mix_decode_delta_abs_k1024
1024,16,13853.7421875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,17,15506.955078125,1024,delta_abs,mix_decode_delta_abs_k1024
1024,18,20827.794921875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,19,21510.296875,1024,delta_abs,mix_decode_delta_abs_k1024
1024,20,20598.587890625,1024,delta_abs,mix_decode_delta_abs_k1024
2048,12,12973.1572265625,2048,delta_abs,mix_decode_delta_abs_k2048
2048,13,15489.8251953125,2048,delta_abs,mix_decode_delta_abs_k2048
2048,14,16410.9765625,2048,delta_abs,mix_decode_delta_abs_k2048
2048,15,14943.994140625,2048,delta_abs,mix_decode_delta_abs_k2048
2048,16,16958.275390625,2048,delta_abs,mix_decode_delta_abs_k2048
2048,17,19372.220703125,2048,delta_abs,mix_decode_delta_abs_k2048
2048,18,26874.6015625,2048,delta_abs,mix_decode_delta_abs_k2048
2048,19,27629.73046875,2048,delta_abs,mix_decode_delta_abs_k2048
2048,20,26142.25390625,2048,delta_abs,mix_decode_delta_abs_k2048
4096,12,13805.4091796875,4096,delta_abs,mix_decode_delta_abs_k4096
4096,13,16582.5625,4096,delta_abs,mix_decode_delta_abs_k4096
4096,14,17636.029296875,4096,delta_abs,mix_decode_delta_abs_k4096
4096,15,15436.900390625,4096,delta_abs,mix_decode_delta_abs_k4096
4096,16,17211.494140625,4096,delta_abs,mix_decode_delta_abs_k4096
4096,17,20718.310546875,4096,delta_abs,mix_decode_delta_abs_k4096
4096,18,32239.033203125,4096,delta_abs,mix_decode_delta_abs_k4096
4096,19,32446.587890625,4096,delta_abs,mix_decode_delta_abs_k4096
4096,20,30209.419921875,4096,delta_abs,mix_decode_delta_abs_k4096
2048,12,,2048,random_active,mix_decode_random_active_k2048
2048,13,,2048,random_active,mix_decode_random_active_k2048
2048,14,,2048,random_active,mix_decode_random_active_k2048
2048,15,,2048,random_active,mix_decode_random_active_k2048
2048,16,,2048,random_active,mix_decode_random_active_k2048
2048,17,,2048,random_active,mix_decode_random_active_k2048
2048,18,,2048,random_active,mix_decode_random_active_k2048
2048,19,,2048,random_active,mix_decode_random_active_k2048
2048,20,,2048,random_active,mix_decode_random_active_k2048
