active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
60.0,0.022585124638728325,3.9072265625,15963,l12_interference,0.14961776265337423,24.3876953125,0.42050901073619634,0.1270326380146459,12,12,1
9.0,0.0,0.0,40,l12_interference,0.14898868865030676,24.28515625,0.14898868865030676,0.14898868865030676,12,12,2
26.0,0.01625722543352601,2.8125,1434,l12_interference,0.14859327070552147,24.220703125,0.14902463573619631,0.13233604527199547,12,12,3
26.0,0.05739703757225433,9.9296875,10733,l12_interference,0.1483056940184049,24.173828125,0.049786713957055216,0.09090865644615057,12,12,4
34.0,0.10398979407514451,17.990234375,8698,l12_interference,0.14811996740797545,24.1435546875,0.15277511503067484,0.04413017333283094,12,12,5
17.0,0.02742277817919075,4.744140625,6215,l12_interference,0.14803009969325154,24.12890625,0.021963669478527608,0.12060732151406078,12,12,6
33.0,0.025187409682080924,4.357421875,7210,l12_interference,0.14801811733128833,24.126953125,0.4091856786809816,0.12283070764920741,12,12,7
32.0,0.1255023934248555,21.7119140625,11022,l12_interference,0.14668807515337423,23.91015625,0.261185534892638,0.02118568172851873,12,12,8
13.0,0.0,0.0,3281,l12_interference,0.1464903661809816,23.8779296875,0.22755703604294478,0.1464903661809816,12,12,9
32.0,0.044024340679190754,7.6162109375,2113,l12_interference,0.14646640145705522,23.8740234375,0.08977185582822086,0.10244206077786447,12,12,10
31.0,0.08761402637283237,15.1572265625,8168,l12_interference,0.14634058665644173,23.853515625,0.12070432323619631,0.058726560283609355,12,12,11
28.0,0.03250316112716763,5.623046875,11659,l12_interference,0.1460050805214724,23.798828125,0.32133699194785276,0.11350191939430476,12,12,12
8.0,0.010894598988439306,1.884765625,4180,l12_interference,0.1452621740797546,23.677734375,0.1452621740797546,0.1343675750913153,12,12,13
22.0,0.025029353323699422,4.330078125,3560,l12_interference,0.1447948619631902,23.6015625,0.1252276648773006,0.11976550863949077,12,12,14
37.0,0.07769598988439307,13.44140625,2122,l12_interference,0.14414182323619631,23.4951171875,0.29489191909509205,0.06644583335180325,12,12,15
39.0,0.059892070086705204,10.361328125,9356,l12_interference,0.14394411426380369,23.462890625,0.17203077070552147,0.08405204417709848,12,12,16
18.0,0.015173410404624277,2.625,8091,l12_interference,0.14389618481595093,23.455078125,0.15916171395705522,0.12872277441132665,12,12,17
24.0,0.041450279985549135,7.1708984375,5400,l12_interference,0.14369847584355827,23.4228515625,0.2361903278374233,0.10224819585800914,12,12,18
38.0,0.07406633851156069,12.8134765625,12164,l12_interference,0.14321918136503067,23.3447265625,0.1928621069785276,0.06915284285346998,12,12,19
19.0,0.0035393334537572253,0.6123046875,15894,l12_interference,0.14263803680981596,23.25,0.04726442676380368,0.13909870335605873,12,12,20
41.0,0.03163385115606936,5.47265625,5057,l12_interference,0.14241636311349692,23.2138671875,1.0305969612730062,0.11078251195742755,12,12,21
54.0,0.09860458815028902,17.05859375,13064,l12_interference,0.14164350076687116,23.087890625,0.20562931365030676,0.04303891261658213,12,12,22
17.0,0.004002212789017341,0.6923828125,12075,l12_interference,0.14122411809815952,23.01953125,0.1750443347392638,0.1372219053091422,12,12,23
21.0,0.0,0.0,10314,l12_interference,0.14105636503067484,22.9921875,0.26737442484662577,0.14105636503067484,12,12,24
