layer_group,layers,eval_slice,eval_start,examples_per_split,budget,patch_token_filter,variant,harmful_clean,unsafe,benign_helpful,source_dir
all,12-20,4:8,4,4,k1024,all,mix_decode_delta_abs_k1024,1.0,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_all_k1024
all,12-20,4:8,4,4,k1024,assistant_boundary,mix_decode_delta_abs_k1024,0.0,0.5,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_assistant_boundary_k1024
all,12-20,4:8,4,4,k1024,assistant_boundary_or_generated,mix_decode_delta_abs_k1024,0.75,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_assistant_boundary_or_generated_k1024
all,12-20,4:8,4,4,k1024,contentish,mix_decode_delta_abs_k1024,0.0,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_contentish_k1024
all,12-20,4:8,4,4,k1024,contentish_or_generated,mix_decode_delta_abs_k1024,0.0,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_contentish_or_generated_k1024
all,12-20,4:8,4,4,k1024,generated,mix_decode_delta_abs_k1024,0.0,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_generated_k1024
all,12-20,4:8,4,4,k1024,last_token,mix_decode_delta_abs_k1024,0.0,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_last_token_k1024
all,12-20,4:8,4,4,k1024,prompt_all,mix_decode_delta_abs_k1024,0.0,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_prompt_all_k1024
all,12-20,4:8,4,4,k1024,prompt_or_last,mix_decode_delta_abs_k1024,0.5,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_prompt_or_last_k1024
all,12-20,4:8,4,4,k1024,prompt_template,mix_decode_delta_abs_k1024,0.0,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_atomic_v0/all_12_20_eval_4_8_patch_prompt_template_k1024
