condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
activation_patch_17+18+19+20:post_ff,1.25,-0.06103515625,0.12044270833333333,-3.5869140625,-6.921875,24,benign,0.08333333333333333,0.2916666666666667
activation_patch_17+18+19+20:post_ff,8.1796875,-0.9641927083333334,0.794921875,4.904296875,-4.328125,24,harmful,0.9583333333333334,0.0
activation_patch_18:post_ff,1.0,-0.11962890625,0.061848958333333336,-3.6455078125,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
activation_patch_18:post_ff,8.140625,-1.3479817708333333,0.4111328125,4.5205078125,-4.3515625,24,harmful,0.9583333333333334,0.0
activation_patch_20:post_ff,1.015625,-0.11572265625,0.06575520833333333,-3.6416015625,-6.8984375,24,benign,0.08333333333333333,0.2916666666666667
activation_patch_20:post_ff,7.8203125,-1.4807942708333333,0.2783203125,4.3876953125,-4.3359375,24,harmful,0.9583333333333334,0.0
donor_alpha,1.546875,0.0,0.18147786458333334,-3.52587890625,-7.125,24,benign,0.08333333333333333,0.2916666666666667
donor_alpha,9.109375,0.0,1.7591145833333333,5.868489583333333,-3.671875,24,harmful,0.9583333333333334,0.041666666666666664
recipient_alpha,0.671875,,0.0,-3.7073567708333335,-6.9296875,24,benign,0.041666666666666664,0.2916666666666667
recipient_alpha,7.90625,,0.0,4.109375,-4.3359375,24,harmful,0.9166666666666666,0.041666666666666664
