condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
activation_patch_12+13+14+15+16+17+18+19+20:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_12+13+14+15+16+17+18+19+20:post_ff,1.03125,-0.71875,1.640625,1.03125,1.03125,1,harmful,1.0,0.0
activation_patch_14:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_14:post_ff,-0.40625,-2.15625,0.203125,-0.40625,-0.40625,1,harmful,0.0,1.0
activation_patch_15:post_ff,-3.953125,0.15234375,0.015625,-3.953125,-3.953125,1,benign,0.0,0.0
activation_patch_15:post_ff,-0.171875,-1.921875,0.4375,-0.171875,-0.171875,1,harmful,0.0,1.0
activation_patch_16:post_ff,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
activation_patch_16:post_ff,-0.515625,-2.265625,0.09375,-0.515625,-0.515625,1,harmful,0.0,1.0
activation_patch_17+18+19+20:post_ff,-3.90625,0.19921875,0.0625,-3.90625,-3.90625,1,benign,0.0,0.0
activation_patch_17+18+19+20:post_ff,0.9375,-0.8125,1.546875,0.9375,0.9375,1,harmful,1.0,0.0
activation_patch_17:post_ff,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
activation_patch_17:post_ff,-0.15625,-1.90625,0.453125,-0.15625,-0.15625,1,harmful,0.0,1.0
activation_patch_18:post_ff,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
activation_patch_18:post_ff,0.203125,-1.546875,0.8125,0.203125,0.203125,1,harmful,1.0,0.0
activation_patch_19:post_ff,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
activation_patch_19:post_ff,-0.15625,-1.90625,0.453125,-0.15625,-0.15625,1,harmful,0.0,1.0
activation_patch_20:post_ff,-3.984375,0.12109375,-0.015625,-3.984375,-3.984375,1,benign,0.0,0.0
activation_patch_20:post_ff,0.28125,-1.46875,0.890625,0.28125,0.28125,1,harmful,1.0,0.0
activation_patch_21:post_ff,-3.8984375,0.20703125,0.0703125,-3.8984375,-3.8984375,1,benign,0.0,0.0
activation_patch_21:post_ff,-0.28125,-2.03125,0.328125,-0.28125,-0.28125,1,harmful,0.0,1.0
activation_patch_22:post_ff,-3.90625,0.19921875,0.0625,-3.90625,-3.90625,1,benign,0.0,0.0
activation_patch_22:post_ff,-0.15625,-1.90625,0.453125,-0.15625,-0.15625,1,harmful,0.0,1.0
donor_alpha,-4.10546875,0.0,-0.13671875,-4.10546875,-4.10546875,1,benign,0.0,0.0
donor_alpha,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
recipient_alpha,-3.96875,,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
recipient_alpha,-0.609375,,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
