condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
activation_patch_0:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_0:post_ff,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
activation_patch_10:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_10:post_ff,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
activation_patch_11:post_ff,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
activation_patch_11:post_ff,-0.296875,-2.046875,0.3125,-0.296875,-0.296875,1,harmful,0.0,1.0
activation_patch_12+13+14+15+16+17+18+19+20:post_ff,-3.953125,0.15234375,0.015625,-3.953125,-3.953125,1,benign,0.0,0.0
activation_patch_12+13+14+15+16+17+18+19+20:post_ff,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
activation_patch_12:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_12:post_ff,-0.46875,-2.21875,0.140625,-0.46875,-0.46875,1,harmful,0.0,1.0
activation_patch_13:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_13:post_ff,-0.234375,-1.984375,0.375,-0.234375,-0.234375,1,harmful,0.0,1.0
activation_patch_14:post_ff,-3.9765625,0.12890625,-0.0078125,-3.9765625,-3.9765625,1,benign,0.0,0.0
activation_patch_14:post_ff,-0.03125,-1.78125,0.578125,-0.03125,-0.03125,1,harmful,0.0,1.0
activation_patch_15:post_ff,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
activation_patch_15:post_ff,-0.015625,-1.765625,0.59375,-0.015625,-0.015625,1,harmful,0.0,1.0
activation_patch_16:post_ff,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
activation_patch_16:post_ff,-0.1875,-1.9375,0.421875,-0.1875,-0.1875,1,harmful,0.0,1.0
activation_patch_17+18+19+20:post_ff,-3.921875,0.18359375,0.046875,-3.921875,-3.921875,1,benign,0.0,0.0
activation_patch_17+18+19+20:post_ff,1.640625,-0.109375,2.25,1.640625,1.640625,1,harmful,1.0,0.0
activation_patch_17:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_17:post_ff,0.25,-1.5,0.859375,0.25,0.25,1,harmful,1.0,0.0
activation_patch_18:post_ff,-3.9296875,0.17578125,0.0390625,-3.9296875,-3.9296875,1,benign,0.0,0.0
activation_patch_18:post_ff,0.625,-1.125,1.234375,0.625,0.625,1,harmful,1.0,0.0
activation_patch_19:post_ff,-3.984375,0.12109375,-0.015625,-3.984375,-3.984375,1,benign,0.0,0.0
activation_patch_19:post_ff,0.1875,-1.5625,0.796875,0.1875,0.1875,1,harmful,1.0,0.0
activation_patch_1:post_ff,-3.9609375,0.14453125,0.0078125,-3.9609375,-3.9609375,1,benign,0.0,0.0
activation_patch_1:post_ff,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
activation_patch_20:post_ff,-3.9921875,0.11328125,-0.0234375,-3.9921875,-3.9921875,1,benign,0.0,0.0
activation_patch_20:post_ff,0.75,-1.0,1.359375,0.75,0.75,1,harmful,1.0,0.0
activation_patch_21:post_ff,-3.859375,0.24609375,0.109375,-3.859375,-3.859375,1,benign,0.0,0.0
activation_patch_21:post_ff,-0.125,-1.875,0.484375,-0.125,-0.125,1,harmful,0.0,1.0
activation_patch_22:post_ff,-3.90625,0.19921875,0.0625,-3.90625,-3.90625,1,benign,0.0,0.0
activation_patch_22:post_ff,0.15625,-1.59375,0.765625,0.15625,0.15625,1,harmful,1.0,0.0
activation_patch_23:post_ff,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
activation_patch_23:post_ff,-1.515625,-3.265625,-0.90625,-1.515625,-1.515625,1,harmful,0.0,1.0
activation_patch_24:post_ff,-4.0546875,0.05078125,-0.0859375,-4.0546875,-4.0546875,1,benign,0.0,0.0
activation_patch_24:post_ff,-1.15625,-2.90625,-0.546875,-1.15625,-1.15625,1,harmful,0.0,1.0
activation_patch_25:post_ff,-4.0625,0.04296875,-0.09375,-4.0625,-4.0625,1,benign,0.0,0.0
activation_patch_25:post_ff,-1.21875,-2.96875,-0.609375,-1.21875,-1.21875,1,harmful,0.0,1.0
activation_patch_2:post_ff,-3.9765625,0.12890625,-0.0078125,-3.9765625,-3.9765625,1,benign,0.0,0.0
