alpha,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
0.5,-3.8515625,-3.8515625,-3.8515625,1,benign,0.0,0.0
0.5,-2.921875,-2.921875,-2.921875,1,harmful,0.0,1.0
0.6,-3.8984375,-3.8984375,-3.8984375,1,benign,0.0,0.0
0.6,-2.125,-2.125,-2.125,1,harmful,0.0,1.0
0.7,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
0.7,-1.15625,-1.15625,-1.15625,1,harmful,0.0,1.0
0.75,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
0.75,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
0.8,-3.9921875,-3.9921875,-3.9921875,1,benign,0.0,0.0
0.8,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
0.9,-4.0390625,-4.0390625,-4.0390625,1,benign,0.0,0.0
0.9,0.890625,0.890625,0.890625,1,harmful,1.0,0.0
1.0,-4.10546875,-4.10546875,-4.10546875,1,benign,0.0,0.0
1.0,1.75,1.75,1.75,1,harmful,1.0,0.0
