alpha,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
0.81,-3.9921875,-3.9921875,-3.9921875,1,benign,0.0,0.0
0.81,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
0.82,-4.015625,-4.015625,-4.015625,1,benign,0.0,0.0
0.82,0.125,0.125,0.125,1,harmful,1.0,0.0
0.83,-4.0078125,-4.0078125,-4.0078125,1,benign,0.0,0.0
0.83,0.203125,0.203125,0.203125,1,harmful,1.0,0.0
0.84,-4.015625,-4.015625,-4.015625,1,benign,0.0,0.0
0.84,0.3125,0.3125,0.3125,1,harmful,1.0,0.0
0.85,-4.0234375,-4.0234375,-4.0234375,1,benign,0.0,0.0
0.85,0.421875,0.421875,0.421875,1,harmful,1.0,0.0
0.86,-4.0390625,-4.0390625,-4.0390625,1,benign,0.0,0.0
0.86,0.515625,0.515625,0.515625,1,harmful,1.0,0.0
0.87,-4.0390625,-4.0390625,-4.0390625,1,benign,0.0,0.0
0.87,0.609375,0.609375,0.609375,1,harmful,1.0,0.0
0.88,-4.046875,-4.046875,-4.046875,1,benign,0.0,0.0
0.88,0.703125,0.703125,0.703125,1,harmful,1.0,0.0
0.89,-4.0390625,-4.0390625,-4.0390625,1,benign,0.0,0.0
0.89,0.796875,0.796875,0.796875,1,harmful,1.0,0.0
