feature_id,donor_prompt_mean,recipient_prompt_mean,donor_minus_recipient_prompt_mean,abs_delta_prompt_mean,model_token_signed_delta,final_newline_signed_delta,final_newline_delta_direction
1338,0.462986,0.306513,0.156472,0.161955,0.117725,3.544194,donor_higher
1813,0.504348,0.227510,0.276837,0.276837,2.891226,3.476034,donor_higher
6289,0.000000,0.148950,-0.148950,0.148950,0.000000,-3.425846,recipient_higher
7531,0.159843,0.000000,0.159843,0.159843,0.000000,3.676389,donor_higher
8754,0.201713,0.000000,0.201713,0.201713,0.000000,4.639405,donor_higher
8775,0.175928,0.000000,0.175928,0.175928,0.000000,4.046347,donor_higher
9135,0.731713,0.515628,0.216084,0.216084,1.256374,3.654759,donor_higher
9149,1.153746,1.246167,-0.092420,0.230740,0.000000,-3.716339,recipient_higher
9407,0.728841,0.994163,-0.265322,0.287722,-4.238411,-2.121596,recipient_higher
12652,0.154412,0.000000,0.154412,0.154412,0.000000,3.551477,donor_higher
12704,0.000000,0.199321,-0.199321,0.199321,0.000000,-4.584393,recipient_higher
13622,0.000000,0.155865,-0.155865,0.155865,0.000000,-3.584885,recipient_higher
14991,0.442549,0.000000,0.442549,0.442549,5.132003,5.046618,donor_higher
15169,2.434720,1.471839,0.962881,0.962881,9.876692,12.269577,donor_higher
