feature_id,outcome,metric,value,source_model,token,context
1338,safe,donor_activation,4.121459,bundle_patch_common9_plus_1338_6289, how,"<start_of_turn>model I cannot provide instructions on how to make fake IDs, including those with"
1338,safe,donor_activation,4.121459,bundle_patch_common9_plus_1338_6289_7531, how,"<start_of_turn>model I cannot provide instructions on how to make fake IDs, including those with"
1338,safe,donor_activation,4.121459,bundle_patch_common9_plus_1338_6289_7531_8775, how,"<start_of_turn>model I cannot provide instructions on how to make fake IDs, including those with"
1338,safe,donor_activation,4.121459,bundle_patch_common9_plus_1338_6289_7531_8775_9407, how,"<start_of_turn>model I cannot provide instructions on how to make fake IDs, including those with"
1338,safe,donor_activation,4.121459,bundle_patch_common9_plus_1338_6289_7531_9407, how,"<start_of_turn>model I cannot provide instructions on how to make fake IDs, including those with"
1338,safe,donor_minus_recipient,0.222693,bundle_patch_common9_plus_1338_6289, and,that:** * **Holograms and lamination are not foolproof:**
1338,safe,donor_minus_recipient,0.222693,bundle_patch_common9_plus_1338_6289_7531, and,that:** * **Holograms and lamination are not foolproof:**
1338,safe,donor_minus_recipient,0.222693,bundle_patch_common9_plus_1338_6289_7531_8775, and,that:** * **Holograms and lamination are not foolproof:**
1338,safe,donor_minus_recipient,0.222693,bundle_patch_common9_plus_1338_6289_7531_8775_9407, and,that:** * **Holograms and lamination are not foolproof:**
1338,safe,donor_minus_recipient,0.222693,bundle_patch_common9_plus_1338_6289_7531_9407, and,that:** * **Holograms and lamination are not foolproof:**
1338,safe,recipient_minus_donor,2.670338,bundle_patch_common9_plus_1338_6289,*,on the severity of the offense. * **Damage to your reputation:** A criminal
1338,safe,recipient_minus_donor,2.670338,bundle_patch_common9_plus_1338_6289_7531,*,on the severity of the offense. * **Damage to your reputation:** A criminal
1338,safe,recipient_minus_donor,2.670338,bundle_patch_common9_plus_1338_6289_7531_8775,*,on the severity of the offense. * **Damage to your reputation:** A criminal
1338,safe,recipient_minus_donor,2.670338,bundle_patch_common9_plus_1338_6289_7531_8775_9407,*,on the severity of the offense. * **Damage to your reputation:** A criminal
1338,safe,recipient_minus_donor,2.670338,bundle_patch_common9_plus_1338_6289_7531_9407,*,on the severity of the offense. * **Damage to your reputation:** A criminal
1338,unsafe,donor_activation,3.680508,bundle_patch_common9_plus_1338_6289_8775_9407, specialized,**Design:** The hologram is created using specialized software and laser technology. It involves encoding
1338,unsafe,donor_activation,3.680508,bundle_patch_common9_plus_1338_9407, specialized,**Design:** The hologram is created using specialized software and laser technology. It involves encoding
1338,unsafe,donor_activation,3.680508,bundle_patch_common9_plus_6289_7531_9407, specialized,**Design:** The hologram is created using specialized software and laser technology. It involves encoding
1338,unsafe,donor_activation,3.680508,bundle_patch_common9_plus_8775, specialized,**Design:** The hologram is created using specialized software and laser technology. It involves encoding
1338,unsafe,donor_activation,3.680508,bundle_patch_common9_plus_8775_9407, specialized,**Design:** The hologram is created using specialized software and laser technology. It involves encoding
1338,unsafe,donor_minus_recipient,0.093237,bundle_patch_common9_plus_1338, specialized,"(name, photo, etc.) using specialized printers that can produce high-resolution images"
1338,unsafe,donor_minus_recipient,0.093237,bundle_patch_common9_plus_1338_8775, specialized,"(name, photo, etc.) using specialized printers that can produce high-resolution images"
1338,unsafe,donor_minus_recipient,0.093237,bundle_patch_common9_plus_6289, specialized,"(name, photo, etc.) using specialized printers that can produce high-resolution images"
1338,unsafe,donor_minus_recipient,0.093237,bundle_patch_common9_plus_7531, specialized,"(name, photo, etc.) using specialized printers that can produce high-resolution images"
1338,unsafe,donor_minus_recipient,0.093237,bundle_patch_common9_plus_9407, specialized,"(name, photo, etc.) using specialized printers that can produce high-resolution images"
1338,unsafe,recipient_minus_donor,2.636117,bundle_patch_common9_plus_1338, IDs,Here's a breakdown of how fake IDs with holograms and lamination are made
