feature_id,safe_n,unsafe_n,safe_donor_minus_recipient_gen_mean,unsafe_donor_minus_recipient_gen_mean,safe_minus_unsafe_delta,safe_abs_delta_gen_mean,unsafe_abs_delta_gen_mean,safe_donor_gen_mean,unsafe_donor_gen_mean,safe_recipient_gen_mean,unsafe_recipient_gen_mean
1338,21,11,-0.018341,-0.016791,-0.001550,0.022430,0.018475,0.109059,0.080910,0.127400,0.097701
1813,21,11,0.064681,0.168062,-0.103381,0.064681,0.168062,0.225712,0.513686,0.161031,0.345625
6289,21,11,0.017537,-0.014487,0.032024,0.018523,0.020399,0.071719,0.067399,0.054182,0.081886
7531,21,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8754,21,11,0.001411,0.000000,0.001411,0.001803,0.000000,0.104887,0.000000,0.103476,0.000000
8775,21,11,0.022979,0.000000,0.022979,0.022979,0.000000,0.062913,0.000000,0.039934,0.000000
9135,21,11,0.001372,0.000985,0.000387,0.001372,0.000985,0.067177,0.038320,0.065805,0.037335
9149,21,11,0.001229,0.032870,-0.031641,0.008896,0.046441,0.695361,1.250751,0.694131,1.217881
9407,21,11,0.000000,-0.008113,0.008113,0.000000,0.027096,0.000000,0.017548,0.000000,0.025660
12652,21,11,-0.016014,0.019517,-0.035531,0.021274,0.020354,0.149762,0.099239,0.165776,0.079722
12704,21,11,-0.007254,0.001058,-0.008312,0.008693,0.002541,0.105262,0.075208,0.112517,0.074151
13622,21,11,0.003396,0.000495,0.002901,0.003396,0.001751,0.039788,0.046888,0.036391,0.046392
14991,21,11,0.051252,0.000000,0.051252,0.051252,0.000000,0.051252,0.000000,0.000000,0.000000
15169,21,11,0.018502,0.086191,-0.067689,0.018611,0.092861,0.257408,0.274316,0.238906,0.188124
