bundle,variable_count,variables_added,selected_features,feature_count
common9_plus_none,0,,"1813,8754,9135,9149,12652,12704,13622,14991,15169",9
common9_plus_1338,1,1338,"1338,1813,8754,9135,9149,12652,12704,13622,14991,15169",10
common9_plus_6289,1,6289,"1813,6289,8754,9135,9149,12652,12704,13622,14991,15169",10
common9_plus_7531,1,7531,"1813,7531,8754,9135,9149,12652,12704,13622,14991,15169",10
common9_plus_8775,1,8775,"1813,8754,8775,9135,9149,12652,12704,13622,14991,15169",10
common9_plus_9407,1,9407,"1813,8754,9135,9149,9407,12652,12704,13622,14991,15169",10
common9_plus_1338_6289,2,"1338,6289","1338,1813,6289,8754,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_1338_7531,2,"1338,7531","1338,1813,7531,8754,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_1338_8775,2,"1338,8775","1338,1813,8754,8775,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_1338_9407,2,"1338,9407","1338,1813,8754,9135,9149,9407,12652,12704,13622,14991,15169",11
common9_plus_6289_7531,2,"6289,7531","1813,6289,7531,8754,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_6289_8775,2,"6289,8775","1813,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_6289_9407,2,"6289,9407","1813,6289,8754,9135,9149,9407,12652,12704,13622,14991,15169",11
common9_plus_7531_8775,2,"7531,8775","1813,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",11
common9_plus_7531_9407,2,"7531,9407","1813,7531,8754,9135,9149,9407,12652,12704,13622,14991,15169",11
common9_plus_8775_9407,2,"8775,9407","1813,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",11
common9_plus_1338_6289_7531,3,"1338,6289,7531","1338,1813,6289,7531,8754,9135,9149,12652,12704,13622,14991,15169",12
common9_plus_1338_6289_8775,3,"1338,6289,8775","1338,1813,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",12
common9_plus_1338_6289_9407,3,"1338,6289,9407","1338,1813,6289,8754,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_1338_7531_8775,3,"1338,7531,8775","1338,1813,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",12
common9_plus_1338_7531_9407,3,"1338,7531,9407","1338,1813,7531,8754,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_1338_8775_9407,3,"1338,8775,9407","1338,1813,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_6289_7531_8775,3,"6289,7531,8775","1813,6289,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",12
common9_plus_6289_7531_9407,3,"6289,7531,9407","1813,6289,7531,8754,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_6289_8775_9407,3,"6289,8775,9407","1813,6289,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_7531_8775_9407,3,"7531,8775,9407","1813,7531,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",12
common9_plus_1338_6289_7531_8775,4,"1338,6289,7531,8775","1338,1813,6289,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",13
common9_plus_1338_6289_7531_9407,4,"1338,6289,7531,9407","1338,1813,6289,7531,8754,9135,9149,9407,12652,12704,13622,14991,15169",13
common9_plus_1338_6289_8775_9407,4,"1338,6289,8775,9407","1338,1813,6289,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",13
common9_plus_1338_7531_8775_9407,4,"1338,7531,8775,9407","1338,1813,7531,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",13
common9_plus_6289_7531_8775_9407,4,"6289,7531,8775,9407","1813,6289,7531,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",13
common9_plus_1338_6289_7531_8775_9407,5,"1338,6289,7531,8775,9407","1338,1813,6289,7531,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",14
