condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_all_pass_union14,3.484375,-3.9635416666666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_all_pass_union14,6.015625,4.392578125,0.59375,12,harmful,1.0,0.0
bundle_patch_broad_backbone_14991_15169_1813,3.484375,-3.9654947916666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_broad_backbone_14991_15169_1813,6.046875,4.401692708333333,0.59375,12,harmful,1.0,0.0
bundle_patch_broad_backbone_plus_7531,3.484375,-3.9654947916666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_broad_backbone_plus_7531,6.03125,4.397786458333333,0.59375,12,harmful,1.0,0.0
bundle_patch_broad_rank_le100_pass_features,3.484375,-3.9654947916666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_broad_rank_le100_pass_features,6.03125,4.397786458333333,0.59375,12,harmful,1.0,0.0
bundle_patch_broad_rank_le500_pass_features,3.484375,-3.9654947916666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_broad_rank_le500_pass_features,6.015625,4.392578125,0.59375,12,harmful,1.0,0.0
bundle_patch_common_intersection9,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_common_intersection9,6.046875,4.39453125,0.59375,12,harmful,1.0,0.0
bundle_patch_core_pair_14991_15169,3.484375,-3.9654947916666665,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_core_pair_14991_15169,6.046875,4.393229166666667,0.578125,12,harmful,1.0,0.0
linear_alpha_0.75,3.46875,-3.990234375,-7.125,12,benign,0.08333333333333333,0.25
linear_alpha_0.75,6.0,4.229166666666667,0.359375,12,harmful,1.0,0.0
linear_alpha_1,3.4375,-3.9329427083333335,-7.0,12,benign,0.08333333333333333,0.3333333333333333
linear_alpha_1,7.703125,6.085286458333333,1.59375,12,harmful,1.0,0.0
