condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12_p10_p22,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_critical12_p10_p22,6.015625,4.3828125,0.578125,12,harmful,1.0,0.0
bundle_patch_critical12_p10_p31,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_critical12_p10_p31,6.015625,4.385416666666667,0.59375,12,harmful,1.0,0.0
bundle_patch_critical12_p22_p23,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_critical12_p22_p23,6.0078125,4.376953125,0.578125,12,harmful,1.0,0.0
bundle_patch_critical12_p22_p29,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_critical12_p22_p29,6.015625,4.380208333333333,0.578125,12,harmful,1.0,0.0
bundle_patch_critical12_p23_p31,3.484375,-3.9641927083333335,-7.125,12,benign,0.08333333333333333,0.25
bundle_patch_critical12_p23_p31,6.0078125,4.389973958333333,0.578125,12,harmful,1.0,0.0
linear_alpha_0.75,3.46875,-3.990234375,-7.125,12,benign,0.08333333333333333,0.25
linear_alpha_0.75,6.0,4.229166666666667,0.359375,12,harmful,1.0,0.0
linear_alpha_1,3.4375,-3.9329427083333335,-7.0,12,benign,0.08333333333333333,0.3333333333333333
linear_alpha_1,7.703125,6.085286458333333,1.59375,12,harmful,1.0,0.0
