condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12_p10_p22,0.828125,-3.6787109375,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
bundle_patch_critical12_p10_p22,7.859375,4.279296875,-4.3359375,24,harmful,0.9583333333333334,0.0
bundle_patch_critical12_p10_p31,0.828125,-3.6793619791666665,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
bundle_patch_critical12_p10_p31,7.8671875,4.283854166666667,-4.3359375,24,harmful,0.9583333333333334,0.0
bundle_patch_critical12_p22_p23,0.8125,-3.6793619791666665,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
bundle_patch_critical12_p22_p23,7.8515625,4.279296875,-4.3359375,24,harmful,0.9583333333333334,0.0
bundle_patch_critical12_p22_p29,0.8125,-3.6793619791666665,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
bundle_patch_critical12_p22_p29,7.8515625,4.279296875,-4.3359375,24,harmful,0.9583333333333334,0.0
bundle_patch_critical12_p23_p31,0.8125,-3.6800130208333335,-6.9296875,24,benign,0.08333333333333333,0.2916666666666667
bundle_patch_critical12_p23_p31,7.859375,4.284830729166667,-4.3359375,24,harmful,0.9583333333333334,0.0
linear_alpha_0.75,0.671875,-3.7073567708333335,-6.9296875,24,benign,0.041666666666666664,0.2916666666666667
linear_alpha_0.75,7.90625,4.109375,-4.3359375,24,harmful,0.9166666666666666,0.041666666666666664
linear_alpha_1,1.546875,-3.52587890625,-7.125,24,benign,0.08333333333333333,0.2916666666666667
linear_alpha_1,9.109375,5.868489583333333,-3.671875,24,harmful,0.9583333333333334,0.041666666666666664
