condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_boundary_donor_higher9,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_boundary_donor_higher9_plus_12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9_plus_12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_boundary_donor_higher9_plus_13622,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9_plus_13622,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_boundary_donor_higher9_plus_6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9_plus_6289,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_boundary_donor_higher9_plus_9149,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9_plus_9149,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_boundary_donor_higher9_plus_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_boundary_donor_higher9_plus_9407,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_boundary_recipient_higher5,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_boundary_recipient_higher5,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_boundary_signed_all14,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_boundary_signed_all14,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_donor_higher6,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_donor_higher6,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_common9_recipient_higher3,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_recipient_higher3,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_common9_signed9,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_signed9,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_signed9_plus_variable_donor3,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_signed9_plus_variable_donor3,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_signed9_plus_variable_recipient2,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_signed9_plus_variable_recipient2,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_variable_donor_higher3,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_variable_donor_higher3,-0.59375,-0.59375,-0.59375,1,harmful,0.0,1.0
bundle_patch_variable_recipient_higher2,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_variable_recipient_higher2,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
linear_alpha_0.75,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
linear_alpha_0.75,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
linear_alpha_1,-4.10546875,-4.10546875,-4.10546875,1,benign,0.0,0.0
linear_alpha_1,1.75,1.75,1.75,1,harmful,1.0,0.0
