bundle,feature_ids,layer,selected_features
boundary_donor_higher9,"1338,1813,7531,8754,8775,9135,12652,14991,15169",20,9
boundary_recipient_higher5,"6289,9149,9407,12704,13622",20,5
boundary_signed_all14,"1338,1813,6289,7531,8754,8775,9135,9149,9407,12652,12704,13622,14991,15169",20,14
common9_donor_higher6,"1813,8754,9135,12652,14991,15169",20,6
common9_recipient_higher3,"9149,12704,13622",20,3
common9_signed9,"1813,8754,9135,9149,12652,12704,13622,14991,15169",20,9
variable_donor_higher3,"1338,7531,8775",20,3
variable_recipient_higher2,"6289,9407",20,2
common9_signed9_plus_variable_donor3,"1338,1813,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
common9_signed9_plus_variable_recipient2,"1813,6289,8754,9135,9149,9407,12652,12704,13622,14991,15169",20,11
boundary_donor_higher9_plus_6289,"1338,1813,6289,7531,8754,8775,9135,12652,14991,15169",20,10
boundary_donor_higher9_plus_12704,"1338,1813,7531,8754,8775,9135,12652,12704,14991,15169",20,10
boundary_donor_higher9_plus_9149,"1338,1813,7531,8754,8775,9135,9149,12652,14991,15169",20,10
boundary_donor_higher9_plus_13622,"1338,1813,7531,8754,8775,9135,12652,13622,14991,15169",20,10
boundary_donor_higher9_plus_9407,"1338,1813,7531,8754,8775,9135,9407,12652,14991,15169",20,10
