condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_all_pass_union14,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_all_pass_union14,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_broad_backbone_14991_15169_1813,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_broad_backbone_14991_15169_1813,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_broad_backbone_plus_7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_broad_backbone_plus_7531,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_broad_rank_le100_pass_features,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_broad_rank_le100_pass_features,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_broad_rank_le500_pass_features,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_broad_rank_le500_pass_features,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_common_intersection9,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common_intersection9,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_core_pair_14991_15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_core_pair_14991_15169,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
linear_alpha_0.75,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
linear_alpha_0.75,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
linear_alpha_1,-4.10546875,-4.10546875,-4.10546875,1,benign,0.0,0.0
linear_alpha_1,1.75,1.75,1.75,1,harmful,1.0,0.0
