condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_common9_plus_1338,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_1338_6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_7531,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_7531_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_7531_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_7531_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_7531_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_7531_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_7531_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_6289_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_8775_9407,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_1338_6289_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_6289_9407,0.03125,0.03125,0.03125,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_7531,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_7531_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_7531_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_7531_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_7531_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_7531_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_7531_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_1338_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_1338_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_1338_9407,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_6289_7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_7531,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_6289_7531_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_7531_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_6289_7531_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_7531_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_6289_7531_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_7531_9407,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_6289_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_6289_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_6289_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_6289_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_7531,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_common9_plus_7531_8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_common9_plus_7531_8775,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_7531_8775_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_7531_8775_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_common9_plus_7531_9407,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_common9_plus_7531_9407,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
