key,n,pass_count,tie_count,fail_count,mean_margin,max_margin,min_margin
8775,22,3,12,7,-0.0035511363636363635,0.015625,-0.03125
6289,43,2,30,11,-0.003633720930232558,0.015625,-0.03125
1338,1,1,0,0,0.015625,0.015625,0.015625
8754,43,0,27,16,-0.006540697674418605,0.0,-0.03125
9149,43,0,21,22,-0.009811046511627907,0.0,-0.03125
1813,43,0,20,23,-0.010537790697674418,0.0,-0.03125
12652,43,0,18,25,-0.010901162790697675,0.0,-0.03125
13622,43,0,20,23,-0.010901162790697675,0.0,-0.03125
9135,43,0,12,31,-0.017078488372093022,0.0,-0.046875
12704,43,0,1,42,-0.02616279069767442,0.0,-0.046875
14991,43,0,0,43,-0.046875,-0.03125,-0.078125
15169,43,0,0,43,-0.4120639534883721,-0.390625,-0.4375
