key,n,pass_count,tie_count,fail_count,mean_margin,max_margin,min_margin
A_drop1338|drop_8775,22,3,12,7,-0.0035511363636363635,0.015625,-0.03125
B_drop8775|drop_1338,1,1,0,0,0.015625,0.015625,0.015625
B_drop8775|drop_6289,21,1,17,3,-0.001488095238095238,0.015625,-0.015625
A_drop1338|drop_6289,22,1,13,8,-0.005681818181818182,0.015625,-0.03125
B_drop8775|drop_8754,21,0,16,5,-0.003720238095238095,0.0,-0.015625
B_drop8775|drop_9149,21,0,12,9,-0.00744047619047619,0.0,-0.03125
B_drop8775|drop_12652,21,0,10,11,-0.008928571428571428,0.0,-0.03125
A_drop1338|drop_13622,22,0,11,11,-0.009232954545454546,0.0,-0.03125
A_drop1338|drop_1813,22,0,11,11,-0.009232954545454546,0.0,-0.03125
A_drop1338|drop_8754,22,0,11,11,-0.009232954545454546,0.0,-0.03125
B_drop8775|drop_1813,21,0,9,12,-0.011904761904761904,0.0,-0.03125
A_drop1338|drop_9149,22,0,9,13,-0.012073863636363636,0.0,-0.03125
B_drop8775|drop_13622,21,0,9,12,-0.012648809523809524,0.0,-0.03125
A_drop1338|drop_12652,22,0,8,14,-0.01278409090909091,0.0,-0.03125
B_drop8775|drop_9135,21,0,8,13,-0.013392857142857142,0.0,-0.03125
A_drop1338|drop_9135,22,0,4,18,-0.020596590909090908,0.0,-0.046875
A_drop1338|drop_12704,22,0,1,21,-0.026988636363636364,0.0,-0.046875
B_drop8775|drop_12704,21,0,0,21,-0.025297619047619048,-0.015625,-0.046875
B_drop8775|drop_14991,21,0,0,21,-0.04538690476190476,-0.03125,-0.0625
A_drop1338|drop_14991,22,0,0,22,-0.048295454545454544,-0.03125,-0.078125
A_drop1338|drop_15169,22,0,0,22,-0.41051136363636365,-0.390625,-0.421875
B_drop8775|drop_15169,21,0,0,21,-0.41369047619047616,-0.40625,-0.4375
