source_bundle,variant,source_feature_index,dropped_layer,dropped_feature_id,source_feature_count,selected_features
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f15169,1,20,15169,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f14991,2,20,14991,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f12704,3,20,12704,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f8775,4,20,8775,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f4339,5,20,4339,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f9135,6,20,9135,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f13622,7,20,13622,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f12652,8,20,12652,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f1338,9,20,1338,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f6289,10,20,6289,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f8754,11,20,8754,12,11
critical12_p10_p22_drop_rank002_rank020,critical12_p10_p22_drop_rank002_rank020_drop_f9149,12,20,9149,12,11
