condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank006,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank006,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank008,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank008,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank010,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank010,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank011,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank011,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank012,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank012,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank013,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank013,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank015,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank015,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank017,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank017,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank018,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank018,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank019,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank019,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank021,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank021,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank022,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank022,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank023,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank023,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank026,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank026,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank029,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank029,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank030,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank030,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank031,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank031,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank032,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank032,0.0,0.0,0.0,1,harmful,0.0,1.0
linear_alpha_0.75,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
linear_alpha_0.75,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
linear_alpha_1,-4.10546875,-4.10546875,-4.10546875,1,benign,0.0,0.0
linear_alpha_1,1.75,1.75,1.75,1,harmful,1.0,0.0
