condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank004,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank004,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank005,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank005,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank006,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank006,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank008,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank008,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank010,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank010,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank011,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank011,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank012,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank012,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank013,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank013,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank015,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank015,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank017,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank017,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank018,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank018,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank019,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank019,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank003_rank021,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank003_rank021,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
