source_bundle,variant,source_feature_index,dropped_layer,dropped_feature_id,source_feature_count,selected_features
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f4339,1,20,4339,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f6289,2,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f7531,3,20,7531,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8754,4,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8775,5,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9135,6,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9149,7,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12652,8,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12704,9,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f13622,10,20,13622,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f1338,1,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f4339,2,20,4339,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f6289,3,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8754,4,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8775,5,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9135,6,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9149,7,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12652,8,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12704,9,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f13854,10,20,13854,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1338,1,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1813,2,20,1813,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f4339,3,20,4339,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f6289,4,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8754,5,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8775,6,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9135,7,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9149,8,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12652,9,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12704,10,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1100,1,20,1100,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1338,2,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f6289,3,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8754,4,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8775,5,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9135,6,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9149,7,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12652,8,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12704,9,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f13622,10,20,13622,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f1338,1,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f6289,2,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8754,3,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8775,4,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9135,5,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9149,6,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12652,7,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12704,8,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13060,9,20,13060,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13622,10,20,13622,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f1338,1,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f6289,2,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f8754,3,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f8775,4,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f9135,5,20,9135,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f9149,6,20,9149,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12652,7,20,12652,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12704,8,20,12704,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13622,9,20,13622,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13854,10,20,13854,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f14991,11,20,14991,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f15169,12,20,15169,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338,1,20,1338,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1813,2,20,1813,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f6289,3,20,6289,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8754,4,20,8754,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775,5,20,8775,12,11
swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813,lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f9135,6,20,9135,12,11
