condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12652,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12652,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f13622,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f13622,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f14991,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f14991,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f15169,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f4339,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f4339,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f7531,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f7531,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8754,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8754,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9135,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9135,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9149,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9149,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12652,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12652,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f1338,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f1338,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f13854,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f13854,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f14991,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f14991,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f15169,-0.421875,-0.421875,-0.421875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f4339,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f4339,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8754,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8754,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9135,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9135,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9149,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f13854_drop_f9149,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12652,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12652,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1338,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1338,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f14991,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f14991,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f15169,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1813,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f1813,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f4339,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f4339,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8754,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8754,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9135,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9135,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9149,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f13622_add_f1813_drop_f9149,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1100,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1100,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12652,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12652,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1338,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f1338,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f13622,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f13622,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f14991,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f14991,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f15169,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8754,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8754,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9135,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9135,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9149,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1100_drop_f9149,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12652,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12652,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12704,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13060,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13060,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f1338,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f1338,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13622,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f13622,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f14991,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f14991,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f15169,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f15169,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f6289,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8754,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8754,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8775,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f8775,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9135,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9135,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9149,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13060_drop_f9149,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12652,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12652,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12704,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f12704,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f1338,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f1338,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13622,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13622,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13854,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f13854,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f14991,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f14991,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f15169,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f15169,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f6289,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f6289,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f8754,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f8754,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f13854_drop_f8775,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
