bundle,feature_ids,layer,selected_features
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f4339,"6289,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f6289,"4339,7531,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f7531,"4339,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8754,"4339,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f8775,"4339,6289,7531,8754,9135,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9135,"4339,6289,7531,8754,8775,9149,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f9149,"4339,6289,7531,8754,8775,9135,12652,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12652,"4339,6289,7531,8754,8775,9135,9149,12704,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f12704,"4339,6289,7531,8754,8775,9135,9149,12652,13622,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f13622,"4339,6289,7531,8754,8775,9135,9149,12652,12704,14991,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f14991,"4339,6289,7531,8754,8775,9135,9149,12652,12704,13622,15169",20,11
lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f1338_add_f7531_drop_f15169,"4339,6289,7531,8754,8775,9135,9149,12652,12704,13622,14991",20,11
