source_bundle,pool_bundle,variant,drop_index,dropped_layer,dropped_feature_id,add_index,added_layer,added_feature_id,source_feature_count,pool_extra_count,selected_features,features
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f12963,1,20,15169,1,20,12963,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:12963,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f13060,1,20,15169,2,20,13060,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13060,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f6169,1,20,15169,3,20,6169,12,21,12,"20:1338,20:4339,20:6169,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f13882,1,20,15169,4,20,13882,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:13882,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f9407,1,20,15169,5,20,9407,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:9407,20:12652,20:12704,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f5355,1,20,15169,6,20,5355,12,21,12,"20:1338,20:4339,20:5355,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f3850,1,20,15169,7,20,3850,12,21,12,"20:1338,20:3850,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f13854,1,20,15169,8,20,13854,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:13854,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f7965,1,20,15169,9,20,7965,12,21,12,"20:1338,20:4339,20:6289,20:7965,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:14991"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f15169_add_f11414,1,20,15169,10,20,11414,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:11414,20:12652,20:12704,20:13622,20:14991"
