source_bundle,variant,source_feature_index,dropped_layer,dropped_feature_id,source_feature_count,selected_features
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f15169,1,20,15169,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f14991,2,20,14991,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f12704,3,20,12704,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f8775,4,20,8775,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f4339,5,20,4339,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f4326,6,20,4326,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f9135,7,20,9135,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f13622,8,20,13622,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f12652,9,20,12652,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f1338,10,20,1338,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f6289,11,20,6289,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f8754,12,20,8754,13,12
critical12_p10_p22_drop_rank002,critical12_p10_p22_drop_rank002_drop_f9149,13,20,9149,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f15169,1,20,15169,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f12963,2,20,12963,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f14991,3,20,14991,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f12704,4,20,12704,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f8775,5,20,8775,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f4339,6,20,4339,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f9135,7,20,9135,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f13622,8,20,13622,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f12652,9,20,12652,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f1338,10,20,1338,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f6289,11,20,6289,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f8754,12,20,8754,13,12
critical12_p10_p22_drop_rank020,critical12_p10_p22_drop_rank020_drop_f9149,13,20,9149,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f15169,1,20,15169,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f14991,2,20,14991,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f12704,3,20,12704,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f8775,4,20,8775,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f4339,5,20,4339,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f4326,6,20,4326,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f9135,7,20,9135,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f13622,8,20,13622,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f12652,9,20,12652,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f1338,10,20,1338,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f6289,11,20,6289,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f9149,12,20,9149,13,12
critical12_p22_p23_drop_rank002,critical12_p22_p23_drop_rank002_drop_f7531,13,20,7531,13,12
