bundle,feature_ids,layer,selected_features
critical12_p10_p22_drop_rank002_drop_f15169,"1338,4326,4339,6289,8754,8775,9135,9149,12652,12704,13622,14991",20,12
critical12_p10_p22_drop_rank002_drop_f14991,"1338,4326,4339,6289,8754,8775,9135,9149,12652,12704,13622,15169",20,12
critical12_p10_p22_drop_rank002_drop_f12704,"1338,4326,4339,6289,8754,8775,9135,9149,12652,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f8775,"1338,4326,4339,6289,8754,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f4339,"1338,4326,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f4326,"1338,4339,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f9135,"1338,4326,4339,6289,8754,8775,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f13622,"1338,4326,4339,6289,8754,8775,9135,9149,12652,12704,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f12652,"1338,4326,4339,6289,8754,8775,9135,9149,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f1338,"4326,4339,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f6289,"1338,4326,4339,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f8754,"1338,4326,4339,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank002_drop_f9149,"1338,4326,4339,6289,8754,8775,9135,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f15169,"1338,4339,6289,8754,8775,9135,9149,12652,12704,12963,13622,14991",20,12
critical12_p10_p22_drop_rank020_drop_f12963,"1338,4339,6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f14991,"1338,4339,6289,8754,8775,9135,9149,12652,12704,12963,13622,15169",20,12
critical12_p10_p22_drop_rank020_drop_f12704,"1338,4339,6289,8754,8775,9135,9149,12652,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f8775,"1338,4339,6289,8754,9135,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f4339,"1338,6289,8754,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f9135,"1338,4339,6289,8754,8775,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f13622,"1338,4339,6289,8754,8775,9135,9149,12652,12704,12963,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f12652,"1338,4339,6289,8754,8775,9135,9149,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f1338,"4339,6289,8754,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f6289,"1338,4339,8754,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f8754,"1338,4339,6289,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,12
critical12_p10_p22_drop_rank020_drop_f9149,"1338,4339,6289,8754,8775,9135,12652,12704,12963,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f15169,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,13622,14991",20,12
critical12_p22_p23_drop_rank002_drop_f14991,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,13622,15169",20,12
critical12_p22_p23_drop_rank002_drop_f12704,"1338,4326,4339,6289,7531,8775,9135,9149,12652,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f8775,"1338,4326,4339,6289,7531,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f4339,"1338,4326,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f4326,"1338,4339,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f9135,"1338,4326,4339,6289,7531,8775,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f13622,"1338,4326,4339,6289,7531,8775,9135,9149,12652,12704,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f12652,"1338,4326,4339,6289,7531,8775,9135,9149,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f1338,"4326,4339,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f6289,"1338,4326,4339,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f9149,"1338,4326,4339,6289,7531,8775,9135,12652,12704,13622,14991,15169",20,12
critical12_p22_p23_drop_rank002_drop_f7531,"1338,4326,4339,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,12
