source_bundle,variant,dropped_rank,dropped_feature_id,selected_features,layer
critical12_p10_p22,critical12_p10_p22_drop_rank001,1,15169,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank002,2,12963,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank007,7,14991,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank009,9,12704,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank014,14,8775,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank016,16,4339,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank020,20,4326,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank024,24,9135,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank025,25,13622,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank027,27,12652,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank028,28,1338,13,20
critical12_p10_p22,critical12_p10_p22_drop_rank033,33,6289,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank001,1,15169,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank002,2,12963,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank007,7,14991,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank009,9,12704,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank014,14,8775,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank016,16,4339,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank020,20,4326,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank024,24,9135,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank025,25,13622,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank027,27,12652,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank028,28,1338,13,20
critical12_p10_p31,critical12_p10_p31_drop_rank033,33,6289,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank001,1,15169,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank002,2,12963,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank007,7,14991,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank009,9,12704,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank014,14,8775,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank016,16,4339,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank020,20,4326,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank024,24,9135,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank025,25,13622,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank027,27,12652,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank028,28,1338,13,20
critical12_p22_p23,critical12_p22_p23_drop_rank033,33,6289,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank001,1,15169,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank002,2,12963,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank007,7,14991,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank009,9,12704,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank014,14,8775,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank016,16,4339,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank020,20,4326,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank024,24,9135,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank025,25,13622,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank027,27,12652,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank028,28,1338,13,20
critical12_p22_p29,critical12_p22_p29_drop_rank033,33,6289,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank001,1,15169,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank002,2,12963,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank007,7,14991,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank009,9,12704,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank014,14,8775,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank016,16,4339,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank020,20,4326,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank024,24,9135,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank025,25,13622,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank027,27,12652,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank028,28,1338,13,20
critical12_p23_p31,critical12_p23_p31_drop_rank033,33,6289,13,20
