condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_top33_full,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_full,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank001,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank001,-0.40625,-0.40625,-0.40625,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank002,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank002,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank003,-3.984375,-3.984375,-3.984375,1,benign,0.0,0.0
bundle_patch_top33_minus_rank003,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank004,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank004,0.03125,0.03125,0.03125,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank005,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank005,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank006,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_top33_minus_rank006,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank007,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank007,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank008,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank008,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank009,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank009,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank010,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank010,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank011,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank011,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank012,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank012,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank013,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank013,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank014,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank014,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank015,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank015,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank016,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank016,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank017,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank017,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank018,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank018,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank019,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank019,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank020,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank020,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank021,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_top33_minus_rank021,0.03125,0.03125,0.03125,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank022,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank022,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank023,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank023,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank024,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank024,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank025,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank025,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank026,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank026,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank027,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank027,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank028,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank028,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_top33_minus_rank029,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank029,0.015625,0.015625,0.015625,1,harmful,1.0,0.0
bundle_patch_top33_minus_rank030,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_minus_rank030,0.03125,0.03125,0.03125,1,harmful,1.0,0.0
