label,sample_index,seed,sample_size,pool_label,pool_size,features
random_top33_seed240526_k10_001,1,240526,10,prompt_delta_top33,33,"20:1813,20:4326,20:4339,20:6169,20:6289,20:7531,20:9135,20:12002,20:13854,20:13882"
random_top33_seed240526_k10_002,2,240526,10,prompt_delta_top33,33,"20:1813,20:7531,20:8754,20:9149,20:9407,20:12002,20:13622,20:13854,20:13882,20:15169"
random_top33_seed240526_k10_003,3,240526,10,prompt_delta_top33,33,"20:1813,20:4326,20:4339,20:8775,20:9024,20:11414,20:11545,20:12652,20:12704,20:13882"
random_top33_seed240526_k10_004,4,240526,10,prompt_delta_top33,33,"20:321,20:1338,20:4339,20:8754,20:9407,20:12002,20:12963,20:13622,20:13854,20:15169"
random_top33_seed240526_k10_005,5,240526,10,prompt_delta_top33,33,"20:1338,20:4326,20:5355,20:5990,20:9024,20:9135,20:12002,20:12313,20:12652,20:12704"
random_top33_seed240526_k10_006,6,240526,10,prompt_delta_top33,33,"20:1100,20:3850,20:6289,20:7965,20:8754,20:9024,20:12002,20:12704,20:13060,20:13622"
random_top33_seed240526_k10_007,7,240526,10,prompt_delta_top33,33,"20:1338,20:1813,20:6169,20:8775,20:9001,20:9149,20:13622,20:13854,20:14991,20:15169"
random_top33_seed240526_k10_008,8,240526,10,prompt_delta_top33,33,"20:321,20:1100,20:1813,20:3850,20:4339,20:7965,20:9001,20:12652,20:12963,20:13622"
random_top33_seed240526_k10_009,9,240526,10,prompt_delta_top33,33,"20:5355,20:6169,20:8754,20:9001,20:9135,20:9407,20:12313,20:12652,20:12704,20:13622"
random_top33_seed240526_k10_010,10,240526,10,prompt_delta_top33,33,"20:1813,20:6289,20:8775,20:9001,20:9024,20:11545,20:12002,20:12313,20:13854,20:13882"
random_top33_seed240526_k10_011,11,240526,10,prompt_delta_top33,33,"20:4326,20:5990,20:9001,20:9024,20:11414,20:11545,20:12002,20:12652,20:13622,20:13854"
random_top33_seed240526_k10_012,12,240526,10,prompt_delta_top33,33,"20:1338,20:1813,20:3850,20:4339,20:7965,20:8754,20:12002,20:12963,20:13882,20:14991"
random_top33_seed240526_k10_013,13,240526,10,prompt_delta_top33,33,"20:1338,20:8754,20:8775,20:9001,20:9149,20:12313,20:13854,20:13882,20:14991,20:15169"
random_top33_seed240526_k10_014,14,240526,10,prompt_delta_top33,33,"20:321,20:3850,20:7531,20:7965,20:9024,20:9135,20:12002,20:12313,20:12963,20:13622"
random_top33_seed240526_k10_015,15,240526,10,prompt_delta_top33,33,"20:321,20:4326,20:4339,20:6169,20:6289,20:7531,20:11414,20:12002,20:14991,20:15169"
random_top33_seed240526_k10_016,16,240526,10,prompt_delta_top33,33,"20:321,20:4326,20:4339,20:5355,20:7531,20:9001,20:9135,20:11414,20:12313,20:13060"
random_top33_seed240526_k10_017,17,240526,10,prompt_delta_top33,33,"20:321,20:1338,20:4326,20:4339,20:5990,20:9001,20:9149,20:12002,20:12963,20:13622"
random_top33_seed240526_k10_018,18,240526,10,prompt_delta_top33,33,"20:1338,20:3850,20:5990,20:8775,20:9149,20:9407,20:12002,20:12652,20:12704,20:13854"
random_top33_seed240526_k10_019,19,240526,10,prompt_delta_top33,33,"20:1100,20:3850,20:6169,20:8754,20:9001,20:9135,20:9407,20:12002,20:12652,20:12704"
random_top33_seed240526_k10_020,20,240526,10,prompt_delta_top33,33,"20:1338,20:4326,20:4339,20:5355,20:6169,20:7531,20:8754,20:9135,20:12002,20:12704"
random_top33_seed240526_k10_021,21,240526,10,prompt_delta_top33,33,"20:321,20:1100,20:7965,20:9407,20:12313,20:12652,20:12963,20:13854,20:13882,20:14991"
random_top33_seed240526_k10_022,22,240526,10,prompt_delta_top33,33,"20:5355,20:5990,20:6289,20:7531,20:8775,20:9001,20:9149,20:11414,20:12002,20:12704"
random_top33_seed240526_k10_023,23,240526,10,prompt_delta_top33,33,"20:1100,20:6289,20:7965,20:8775,20:9001,20:9407,20:11414,20:12002,20:12652,20:13622"
random_top33_seed240526_k10_024,24,240526,10,prompt_delta_top33,33,"20:3850,20:4326,20:4339,20:6169,20:7965,20:8754,20:11414,20:11545,20:12002,20:15169"
random_top33_seed240526_k10_025,25,240526,10,prompt_delta_top33,33,"20:321,20:1813,20:7531,20:9135,20:9149,20:9407,20:11414,20:12963,20:13060,20:15169"
random_top33_seed240526_k10_026,26,240526,10,prompt_delta_top33,33,"20:1100,20:1813,20:6169,20:6289,20:7531,20:12652,20:12704,20:12963,20:13060,20:13882"
random_top33_seed240526_k10_027,27,240526,10,prompt_delta_top33,33,"20:1338,20:1813,20:3850,20:4326,20:4339,20:9001,20:9407,20:12704,20:13622,20:13854"
random_top33_seed240526_k10_028,28,240526,10,prompt_delta_top33,33,"20:1813,20:4326,20:4339,20:7965,20:9149,20:12002,20:13622,20:13854,20:14991,20:15169"
random_top33_seed240526_k10_029,29,240526,10,prompt_delta_top33,33,"20:1338,20:1813,20:6289,20:9001,20:11414,20:11545,20:12313,20:12652,20:12704,20:13622"
random_top33_seed240526_k10_030,30,240526,10,prompt_delta_top33,33,"20:321,20:1100,20:1338,20:5990,20:8775,20:9024,20:9407,20:12002,20:12313,20:13882"
random_top33_seed240526_k10_031,31,240526,10,prompt_delta_top33,33,"20:321,20:4339,20:6169,20:7531,20:7965,20:9024,20:9407,20:12652,20:13060,20:13854"
random_top33_seed240526_k10_032,32,240526,10,prompt_delta_top33,33,"20:1100,20:1338,20:1813,20:3850,20:4326,20:6289,20:8775,20:9001,20:12652,20:13622"
random_top33_seed240526_k10_033,33,240526,10,prompt_delta_top33,33,"20:321,20:1813,20:3850,20:9135,20:9149,20:11545,20:12704,20:13060,20:13854,20:14991"
random_top33_seed240526_k10_034,34,240526,10,prompt_delta_top33,33,"20:1813,20:4326,20:5990,20:6169,20:9024,20:9407,20:12704,20:13060,20:14991,20:15169"
random_top33_seed240526_k10_035,35,240526,10,prompt_delta_top33,33,"20:3850,20:4326,20:4339,20:5990,20:7531,20:7965,20:9135,20:11414,20:11545,20:14991"
