condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_random_seed240524_top33_k14_001,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_001,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_002,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_002,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_003,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_003,-0.15625,-0.15625,-0.15625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_004,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_004,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_005,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_005,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_006,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_006,-0.109375,-0.109375,-0.109375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_007,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_007,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_008,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_008,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_009,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_009,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_010,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_010,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_011,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_011,-0.078125,-0.078125,-0.078125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_012,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_012,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_013,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
