condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_top33_neg_all_plus_pos_prefix0_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix0_harmful_delta,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix10_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix10_harmful_delta,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix11_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix11_harmful_delta,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix12_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix12_harmful_delta,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix13_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix13_harmful_delta,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix14_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix14_harmful_delta,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix15_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix15_harmful_delta,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix16_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix16_harmful_delta,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_top33_neg_all_plus_pos_prefix17_harmful_delta,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_top33_neg_all_plus_pos_prefix17_harmful_delta,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
