bundle,feature_ids,layer,selected_features
top6,,14,0
top6,11128,15,1
top6,16332,16,1
top6,"4342,16011",17,2
top6,"10415,11127",18,2
top6,,19,0
top6,,20,0
top7,3001,14,1
top7,11128,15,1
top7,16332,16,1
top7,"4342,16011",17,2
top7,"10415,11127",18,2
top7,,19,0
top7,,20,0
top8,3001,14,1
top8,11128,15,1
top8,16332,16,1
top8,"4342,16011",17,2
top8,"10415,11127",18,2
top8,,19,0
top8,14425,20,1
top9,3001,14,1
top9,11128,15,1
top9,16332,16,1
top9,"4342,16011",17,2
top9,"7189,10415,11127",18,3
top9,,19,0
top9,14425,20,1
top10,3001,14,1
top10,11128,15,1
top10,16332,16,1
top10,"4342,16011",17,2
top10,"7189,10415,11127,11214",18,4
top10,,19,0
top10,14425,20,1
