bundle,feature_ids,layer,selected_features
f16048,,14,0
f16048,,15,0
f16048,,16,0
f16048,,17,0
f16048,,18,0
f16048,16048,19,1
f16048,,20,0
top1,,14,0
top1,,15,0
top1,,16,0
top1,4342,17,1
top1,,18,0
top1,,19,0
top1,,20,0
top2,,14,0
top2,,15,0
top2,,16,0
top2,"4342,16011",17,2
top2,,18,0
top2,,19,0
top2,,20,0
top5,,14,0
top5,,15,0
top5,16332,16,1
top5,"4342,16011",17,2
top5,"10415,11127",18,2
top5,,19,0
top5,,20,0
top10,3001,14,1
top10,11128,15,1
top10,16332,16,1
top10,"4342,16011",17,2
top10,"7189,10415,11127,11214",18,4
top10,,19,0
top10,14425,20,1
