bundle,feature_ids,layer,selected_features
l17,0,17,1
l17,,18,0
l17,,19,0
l17,,20,0
l18,,17,0
l18,0,18,1
l18,,19,0
l18,,20,0
l19,,17,0
l19,,18,0
l19,0,19,1
l19,,20,0
l20,,17,0
l20,,18,0
l20,,19,0
l20,0,20,1
l17_18,0,17,1
l17_18,0,18,1
l17_18,,19,0
l17_18,,20,0
l18_19,,17,0
l18_19,0,18,1
l18_19,0,19,1
l18_19,,20,0
l19_20,,17,0
l19_20,,18,0
l19_20,0,19,1
l19_20,0,20,1
l17_18_19,0,17,1
l17_18_19,0,18,1
l17_18_19,0,19,1
l17_18_19,,20,0
l18_19_20,,17,0
l18_19_20,0,18,1
l18_19_20,0,19,1
l18_19_20,0,20,1
l17_20,0,17,1
l17_20,0,18,1
l17_20,0,19,1
l17_20,0,20,1
