abs_delta_gen_max,abs_delta_gen_mean,donor_gen_max,donor_gen_mean,donor_minus_recipient_gen_mean,feature_id,n,recipient_gen_max,recipient_gen_mean,recipient_minus_donor_gen_mean,source_model,split
0.0859375,0.0001220703137126596,4.23046875,0.008233642826477686,-0.0001220703137126596,93,12,4.23828125,0.008355712983757257,0.0001220703137126596,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.6796875,0.0014078775736076448,3.5078125,0.003222656281044086,0.0014078775736076448,114,12,3.484375,0.0018147785837451618,-0.0014078775736076448,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.89453125,0.022141424182336777,9.2265625,0.6517644338309765,-0.012131134009905509,1293,12,9.2265625,0.6638955610493819,0.012131134009905509,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,benign
0.1328125,0.0007610840912093408,7.86328125,0.05884184455499053,-6.12142903264612e-05,2451,12,7.76953125,0.05890305774907271,6.12142903264612e-05,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.58203125,0.0028747558268757225,3.07421875,0.011682129154602686,-0.002825927670831637,4983,12,3.04296875,0.014508056299140057,0.002825927670831637,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,benign
3.06640625,0.003462727863128142,4.02734375,0.009729003999382257,0.00311279302938298,93,12,4.36328125,0.006616210875411828,-0.00311279302938298,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.640625,0.0013956705424789106,3.1015625,0.004610188926259677,-0.0013875325212211465,114,12,3.09375,0.0059977212610344095,0.0013875325212211465,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.146484375,0.05928853441340228,9.8125,0.6031524712840716,-0.017971801256256487,1293,12,9.5,0.6211242650945982,0.017971801256256487,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.40234375,0.007572428364558921,5.37109375,0.035266113467514515,-0.007320149721635971,2451,12,5.30078125,0.04258626326918602,0.007320149721635971,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.4765625,0.0003499348919528226,3.61328125,0.006437174354990323,0.00014648437111948928,4983,12,3.63671875,0.006290690042078495,-0.00014648437111948928,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0859375,0.0001220703137126596,4.23046875,0.008233642826477686,-0.0001220703137126596,93,12,4.23828125,0.008355712983757257,0.0001220703137126596,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.6796875,0.0014078775736076448,3.5078125,0.003222656281044086,0.0014078775736076448,114,12,3.484375,0.0018147785837451618,-0.0014078775736076448,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.89453125,0.022141424182336777,9.2265625,0.6517644338309765,-0.012131134009905509,1293,12,9.2265625,0.6638955610493819,0.012131134009905509,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,benign
0.1328125,0.0007610840912093408,7.86328125,0.05884184455499053,-6.12142903264612e-05,2451,12,7.76953125,0.05890305774907271,6.12142903264612e-05,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,benign
2.58203125,0.0028747558268757225,3.07421875,0.011682129154602686,-0.002825927670831637,4983,12,3.04296875,0.014508056299140057,0.002825927670831637,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,benign
3.06640625,0.0035359700486878864,4.02734375,0.009810384207715591,0.003186035214942725,93,12,4.36328125,0.0066243489272892475,-0.003186035214942725,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.640625,0.001416015594562244,3.203125,0.00627848319709301,-0.0014078775733044797,114,12,3.2421875,0.007686360583951076,0.0014078775733044797,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.146484375,0.05907491136652728,9.8125,0.6031606073180834,-0.018175251777089823,1293,12,9.5,0.6213358541329702,0.018175251777089823,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.40234375,0.007539876273464567,5.37109375,0.033709716983139515,-0.007295735643613928,2451,12,5.30078125,0.041005452473958336,0.007295735643613928,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.4765625,0.0003499348919528226,3.61328125,0.006437174354990323,0.00014648437111948928,4983,12,3.63671875,0.006290690042078495,-0.00014648437111948928,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266,harmful
