abs_delta_gen_max,abs_delta_gen_mean,donor_gen_max,donor_gen_mean,donor_minus_recipient_gen_mean,feature_id,n,recipient_gen_max,recipient_gen_mean,recipient_minus_donor_gen_mean,source_model,split
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3301_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3301_plus_rank3323_plus_rank4266,harmful
3.369140625,0.03470458835363388,7.87109375,0.29277342557907104,-0.03114013746380806,1293,1,8.1953125,0.32391357421875,0.03114013746380806,bundle_patch_decoder_top3300_plus_rank3301_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3302_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3302_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3302_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3303_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3303_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3303_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3304_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3304_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3304_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3305_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3305_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3305_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3306_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3306_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3306_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3307_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3307_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3307_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.099609375,0.05816650390625,6.77734375,0.667285144329071,-0.01431884802877903,1293,1,6.82421875,0.6816040277481079,0.01431884802877903,bundle_patch_decoder_top3300_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3309_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3309_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3300_plus_rank3309_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3300_plus_rank3310_plus_rank3323_plus_rank4266,harmful
