alpha,feature_id,layer,max_activation,mean_activation,n,nonzero_fraction,position_kind,split
0.0,40,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.0,40,12,1.728515625,0.003429594494047619,504,0.001984126984126984,generated,benign
0.0,12075,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.0,12075,12,3.611328125,0.1595187717013889,504,0.06746031746031746,generated,benign
0.0,16048,19,0.0,0.0,8,0.0,assistant_boundary,benign
0.0,16048,19,12.984375,0.10477895585317461,504,0.015873015873015872,generated,benign
0.0,40,12,0.0,0.0,8,0.0,assistant_boundary,harmful
0.0,40,12,0.0,0.0,504,0.0,generated,harmful
0.0,12075,12,0.0,0.0,8,0.0,assistant_boundary,harmful
0.0,12075,12,3.60546875,0.1708306206597222,504,0.07142857142857142,generated,harmful
0.0,16048,19,0.0,0.0,8,0.0,assistant_boundary,harmful
0.0,16048,19,12.15625,0.15104166666666666,504,0.02976190476190476,generated,harmful
0.25,40,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.25,40,12,2.55859375,0.005076574900793651,504,0.001984126984126984,generated,benign
0.25,12075,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.25,12075,12,4.4609375,0.22800409226190477,504,0.09523809523809523,generated,benign
0.25,16048,19,0.0,0.0,8,0.0,assistant_boundary,benign
0.25,16048,19,20.328125,0.15647476438492064,504,0.027777777777777776,generated,benign
0.25,40,12,0.0,0.0,8,0.0,assistant_boundary,harmful
0.25,40,12,4.0390625,0.09684632316468254,504,0.03968253968253968,generated,harmful
0.25,12075,12,0.0,0.0,8,0.0,assistant_boundary,harmful
0.25,12075,12,3.935546875,0.27942088293650796,504,0.11507936507936507,generated,harmful
0.25,16048,19,0.0,0.0,8,0.0,assistant_boundary,harmful
0.25,16048,19,43.53125,0.3996310763888889,504,0.047619047619047616,generated,harmful
0.5,40,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.5,40,12,3.1171875,0.006184895833333333,504,0.001984126984126984,generated,benign
0.5,12075,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.5,12075,12,4.15625,0.1876375713045635,504,0.08134920634920635,generated,benign
0.5,16048,19,0.0,0.0,8,0.0,assistant_boundary,benign
0.5,16048,19,28.375,0.21525452628968253,504,0.027777777777777776,generated,benign
0.5,40,12,0.0,0.0,8,0.0,assistant_boundary,harmful
0.5,40,12,4.03515625,0.13148328993055555,504,0.0496031746031746,generated,harmful
0.5,12075,12,2.283203125,0.285400390625,8,0.125,assistant_boundary,harmful
0.5,12075,12,4.50390625,0.5025906032986112,504,0.2003968253968254,generated,harmful
0.5,16048,19,0.0,0.0,8,0.0,assistant_boundary,harmful
0.5,16048,19,45.5,0.44135974702380953,504,0.03571428571428571,generated,harmful
0.75,40,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.75,40,12,1.8984375,0.00711883060515873,504,0.003968253968253968,generated,benign
0.75,12075,12,0.0,0.0,8,0.0,assistant_boundary,benign
0.75,12075,12,4.16796875,0.20436314174107142,504,0.0873015873015873,generated,benign
0.75,16048,19,0.0,0.0,8,0.0,assistant_boundary,benign
0.75,16048,19,29.1875,0.22137741815476192,504,0.02976190476190476,generated,benign
0.75,40,12,1.95703125,0.24462890625,8,0.125,assistant_boundary,harmful
0.75,40,12,4.3515625,0.19837782118055555,504,0.07936507936507936,generated,harmful
0.75,12075,12,2.73828125,0.34228515625,8,0.125,assistant_boundary,harmful
0.75,12075,12,3.86328125,0.5035787915426587,504,0.20436507936507936,generated,harmful
0.75,16048,19,0.0,0.0,8,0.0,assistant_boundary,harmful
0.75,16048,19,10.859375,0.09971788194444445,504,0.017857142857142856,generated,harmful
1.0,40,12,0.0,0.0,8,0.0,assistant_boundary,benign
1.0,40,12,0.0,0.0,504,0.0,generated,benign
1.0,12075,12,0.0,0.0,8,0.0,assistant_boundary,benign
1.0,12075,12,3.921875,0.1786954365079365,504,0.07341269841269842,generated,benign
1.0,16048,19,0.0,0.0,8,0.0,assistant_boundary,benign
1.0,16048,19,22.53125,0.28380766369047616,504,0.04365079365079365,generated,benign
1.0,40,12,2.12109375,0.26513671875,8,0.125,assistant_boundary,harmful
1.0,40,12,4.6796875,0.23806811135912698,504,0.09523809523809523,generated,harmful
1.0,12075,12,3.03125,0.592529296875,8,0.25,assistant_boundary,harmful
1.0,12075,12,4.13671875,0.559845455109127,504,0.2261904761904762,generated,harmful
1.0,16048,19,0.0,0.0,8,0.0,assistant_boundary,harmful
1.0,16048,19,8.59375,0.07672216021825397,504,0.015873015873015872,generated,harmful
