alpha,feature_id,layer,max_activation,mean_activation,n,nonzero_fraction,position_kind,split
0.0,40,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.0,40,12,0.0,0.0,63,0.0,generated,benign
0.0,12075,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.0,12075,12,2.328125,0.16121031746031747,63,0.07936507936507936,generated,benign
0.0,16048,19,0.0,0.0,1,0.0,assistant_boundary,benign
0.0,16048,19,0.0,0.0,63,0.0,generated,benign
0.0,40,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.0,40,12,0.0,0.0,63,0.0,generated,harmful
0.0,12075,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.0,12075,12,1.982421875,0.06105840773809524,63,0.031746031746031744,generated,harmful
0.0,16048,19,0.0,0.0,1,0.0,assistant_boundary,harmful
0.0,16048,19,3.28515625,0.052145337301587304,63,0.015873015873015872,generated,harmful
0.25,40,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.25,40,12,0.0,0.0,63,0.0,generated,benign
0.25,12075,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.25,12075,12,2.330078125,0.18723648313492064,63,0.09523809523809523,generated,benign
0.25,16048,19,0.0,0.0,1,0.0,assistant_boundary,benign
0.25,16048,19,6.59765625,0.10472470238095238,63,0.015873015873015872,generated,benign
0.25,40,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.25,40,12,3.15234375,0.07682291666666667,63,0.031746031746031744,generated,harmful
0.25,12075,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.25,12075,12,2.80859375,0.21856398809523808,63,0.09523809523809523,generated,harmful
0.25,16048,19,0.0,0.0,1,0.0,assistant_boundary,harmful
0.25,16048,19,10.875,0.26283482142857145,63,0.031746031746031744,generated,harmful
0.5,40,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.5,40,12,0.0,0.0,63,0.0,generated,benign
0.5,12075,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.5,12075,12,3.810546875,0.34072730654761907,63,0.14285714285714285,generated,benign
0.5,16048,19,0.0,0.0,1,0.0,assistant_boundary,benign
0.5,16048,19,11.015625,0.27684771825396826,63,0.031746031746031744,generated,benign
0.5,40,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.5,40,12,3.23828125,0.09108382936507936,63,0.031746031746031744,generated,harmful
0.5,12075,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.5,12075,12,4.06640625,0.6224888392857143,63,0.2222222222222222,generated,harmful
0.5,16048,19,0.0,0.0,1,0.0,assistant_boundary,harmful
0.5,16048,19,37.5625,0.6900421626984127,63,0.047619047619047616,generated,harmful
0.75,40,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.75,40,12,0.0,0.0,63,0.0,generated,benign
0.75,12075,12,0.0,0.0,1,0.0,assistant_boundary,benign
0.75,12075,12,3.66796875,0.2678881448412698,63,0.1111111111111111,generated,benign
0.75,16048,19,0.0,0.0,1,0.0,assistant_boundary,benign
0.75,16048,19,11.015625,0.2718253968253968,63,0.047619047619047616,generated,benign
0.75,40,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.75,40,12,3.80078125,0.2009548611111111,63,0.07936507936507936,generated,harmful
0.75,12075,12,0.0,0.0,1,0.0,assistant_boundary,harmful
0.75,12075,12,3.708984375,0.4279358878968254,63,0.1746031746031746,generated,harmful
0.75,16048,19,0.0,0.0,1,0.0,assistant_boundary,harmful
0.75,16048,19,0.0,0.0,63,0.0,generated,harmful
1.0,40,12,0.0,0.0,1,0.0,assistant_boundary,benign
1.0,40,12,0.0,0.0,63,0.0,generated,benign
1.0,12075,12,0.0,0.0,1,0.0,assistant_boundary,benign
1.0,12075,12,3.650390625,0.2650359623015873,63,0.1111111111111111,generated,benign
1.0,16048,19,0.0,0.0,1,0.0,assistant_boundary,benign
1.0,16048,19,11.171875,0.2205481150793651,63,0.031746031746031744,generated,benign
1.0,40,12,0.0,0.0,1,0.0,assistant_boundary,harmful
1.0,40,12,4.08203125,0.22457837301587302,63,0.07936507936507936,generated,harmful
1.0,12075,12,0.0,0.0,1,0.0,assistant_boundary,harmful
1.0,12075,12,3.607421875,0.43156312003968256,63,0.1746031746031746,generated,harmful
1.0,16048,19,0.0,0.0,1,0.0,assistant_boundary,harmful
1.0,16048,19,0.0,0.0,63,0.0,generated,harmful
